tf,in_vocab,rho_layer_index_vs_dist,rho_layer_index_vs_rank,rho_pseudotime_bin_vs_expr,supports_dynamics
BATF,True,-0.999999999999993,-0.9930069930069861,0.5272727272727209,True
BACH2,True,-0.9930069930069861,-0.2587412587412569,-0.16363636363636166,False
PAX5,True,-0.999999999999993,0.09592700009066034,-0.46666666666666107,False
BCL6,False,,,-0.26060606060605745,False
PRDM1,True,-0.999999999999993,-0.9650349650349583,0.1515151515151497,True
IRF4,True,-0.999999999999993,-0.5664335664335625,0.7818181818181724,True
