gene_orig_idx,gene_new_idx,out_degree,in_degree,total_degree,is_circuit
215,175,0,1,1,True
216,176,0,0,0,False
217,177,0,0,0,False
219,178,0,0,0,False
220,179,0,0,0,False
221,180,0,6,6,True
222,181,0,0,0,False
224,182,0,0,0,False
226,183,0,0,0,False
227,184,0,1,1,True
228,185,0,0,0,False
229,186,0,0,0,False
230,187,0,0,0,False
231,188,0,0,0,False
232,189,0,0,0,False
233,190,0,0,0,False
234,191,0,0,0,False
236,192,0,0,0,False
238,193,10,2,12,True
239,194,0,0,0,False
240,195,0,12,12,True
241,196,1,0,1,True
244,197,0,0,0,False
245,198,0,0,0,False
247,199,0,0,0,False
248,200,0,0,0,False
249,201,0,1,1,True
250,202,0,1,1,True
251,203,0,0,0,False
252,204,0,0,0,False
253,205,0,0,0,False
254,206,0,0,0,False
256,207,0,0,0,False
257,208,0,0,0,False
258,209,0,0,0,False
259,210,0,0,0,False
260,211,0,0,0,False
261,212,0,0,0,False
262,213,24,3,27,True
263,214,0,3,3,True
264,215,0,6,6,True
265,216,0,0,0,False
266,217,0,0,0,False
267,218,0,0,0,False
268,219,0,3,3,True
269,220,0,0,0,False
270,221,0,0,0,False
271,222,0,2,2,True
272,223,0,0,0,False
276,224,0,0,0,False
277,225,0,0,0,False
278,226,0,0,0,False
280,227,0,0,0,False
281,228,0,0,0,False
283,229,0,0,0,False
284,230,0,0,0,False
285,231,0,0,0,False
286,232,0,0,0,False
288,233,0,1,1,True
289,234,0,0,0,False
291,235,0,1,1,True
292,236,2,0,2,True
293,237,0,0,0,False
294,238,0,0,0,False
295,239,0,0,0,False
296,240,0,0,0,False
297,241,0,1,1,True
298,242,0,0,0,False
299,243,0,0,0,False
300,244,0,0,0,False
301,245,0,1,1,True
302,246,0,0,0,False
305,247,2,1,3,True
306,248,0,1,1,True
307,249,0,3,3,True
308,250,0,0,0,False
310,251,0,1,1,True
311,252,0,0,0,False
312,253,0,0,0,False
313,254,1,1,2,True
314,255,0,0,0,False
315,256,0,0,0,False
316,257,0,0,0,False
317,258,0,2,2,True
318,259,0,3,3,True
320,260,0,1,1,True
321,261,0,3,3,True
322,262,0,0,0,False
323,263,0,0,0,False
325,264,0,2,2,True
327,265,0,0,0,False
328,266,0,0,0,False
329,267,0,1,1,True
332,268,0,0,0,False
333,269,0,0,0,False
334,270,0,0,0,False
337,271,0,1,1,True
338,272,0,2,2,True
340,273,0,1,1,True
341,274,0,0,0,False
342,275,0,0,0,False
343,276,0,1,1,True
345,277,0,0,0,False
346,278,0,0,0,False
348,279,0,0,0,False
349,280,0,0,0,False
351,281,0,5,5,True
352,282,0,0,0,False
356,283,0,0,0,False
357,284,0,0,0,False
358,285,0,0,0,False
359,286,0,0,0,False
360,287,0,0,0,False
363,288,101,11,112,True
364,289,0,0,0,False
365,290,0,0,0,False
366,291,0,0,0,False
367,292,0,0,0,False
368,293,0,0,0,False
369,294,0,10,10,True
372,295,0,1,1,True
374,296,5,0,5,True
375,297,0,0,0,False
376,298,0,0,0,False
377,299,0,0,0,False
378,300,0,0,0,False
379,301,0,0,0,False
380,302,0,0,0,False
381,303,0,1,1,True
383,304,0,1,1,True
386,305,1,0,1,True
387,306,2,0,2,True
388,307,0,3,3,True
389,308,0,0,0,False
390,309,0,0,0,False
392,310,0,0,0,False
394,311,0,0,0,False
395,312,0,1,1,True
396,313,0,0,0,False
399,314,0,7,7,True
400,315,0,0,0,False
402,316,0,0,0,False
403,317,0,0,0,False
404,318,0,0,0,False
405,319,0,0,0,False
406,320,0,0,0,False
407,321,0,0,0,False
408,322,0,0,0,False
409,323,0,0,0,False
410,324,0,0,0,False
413,325,0,0,0,False
414,326,0,0,0,False
415,327,0,3,3,True
416,328,2,0,2,True
417,329,0,0,0,False
418,330,0,0,0,False
419,331,0,0,0,False
420,332,0,0,0,False
421,333,0,0,0,False
422,334,0,0,0,False
424,335,0,0,0,False
426,336,0,0,0,False
427,337,0,0,0,False
428,338,0,0,0,False
429,339,0,0,0,False
430,340,0,0,0,False
433,341,0,0,0,False
434,342,0,0,0,False
435,343,0,0,0,False
436,344,0,0,0,False
437,345,0,0,0,False
438,346,0,0,0,False
439,347,0,0,0,False
440,348,0,0,0,False
441,349,0,0,0,False
442,350,0,0,0,False
443,351,0,0,0,False
444,352,6,4,10,True
446,353,0,0,0,False
447,354,0,0,0,False
448,355,0,0,0,False
450,356,0,0,0,False
452,357,0,0,0,False
453,358,0,0,0,False
454,359,0,3,3,True
456,360,0,0,0,False
457,361,0,0,0,False
458,362,0,3,3,True
459,363,0,0,0,False
460,364,0,0,0,False
461,365,0,1,1,True
462,366,0,0,0,False
463,367,0,0,0,False
464,368,0,2,2,True
465,369,0,0,0,False
466,370,0,0,0,False
467,371,2,1,3,True
470,372,0,2,2,True
471,373,0,0,0,False
472,374,0,2,2,True
473,375,0,0,0,False
474,376,0,0,0,False
475,377,0,0,0,False
477,378,0,0,0,False
478,379,0,0,0,False
479,380,0,0,0,False
480,381,0,0,0,False
481,382,0,0,0,False
482,383,0,0,0,False
483,384,0,1,1,True
485,385,0,0,0,False
486,386,0,0,0,False
488,387,0,1,1,True
489,388,0,0,0,False
491,389,0,0,0,False
492,390,0,0,0,False
493,391,0,0,0,False
494,392,0,1,1,True
495,393,0,0,0,False
496,394,0,1,1,True
497,395,0,0,0,False
498,396,0,3,3,True
499,397,0,1,1,True
501,398,0,0,0,False
502,399,0,0,0,False
503,400,0,0,0,False
505,401,0,0,0,False
506,402,3,2,5,True
507,403,0,0,0,False
508,404,0,0,0,False
509,405,1,2,3,True
510,406,0,1,1,True
511,407,0,0,0,False
512,408,0,0,0,False
513,409,0,0,0,False
514,410,1,0,1,True
515,411,0,4,4,True
516,412,0,0,0,False
517,413,0,0,0,False
519,414,1,1,2,True
520,415,0,3,3,True
521,416,0,0,0,False
522,417,0,0,0,False
524,418,2,0,2,True
525,419,0,0,0,False
526,420,0,0,0,False
529,421,0,0,0,False
530,422,0,1,1,True
531,423,0,0,0,False
532,424,0,1,1,True
533,425,21,4,25,True
534,426,0,1,1,True
535,427,0,1,1,True
536,428,0,0,0,False
537,429,0,0,0,False
539,430,0,0,0,False
541,431,0,0,0,False
542,432,0,0,0,False
543,433,0,9,9,True
546,434,0,0,0,False
547,435,0,0,0,False
548,436,0,0,0,False
552,437,0,0,0,False
553,438,0,0,0,False
554,439,0,0,0,False
555,440,0,2,2,True
556,441,0,0,0,False
557,442,0,1,1,True
558,443,0,1,1,True
560,444,0,2,2,True
561,445,0,0,0,False
562,446,0,0,0,False
563,447,0,0,0,False
564,448,0,0,0,False
567,449,0,0,0,False
568,450,0,0,0,False
569,451,0,0,0,False
570,452,0,0,0,False
571,453,0,0,0,False
572,454,0,1,1,True
573,455,0,0,0,False
574,456,0,0,0,False
575,457,0,0,0,False
576,458,0,2,2,True
578,459,0,0,0,False
580,460,8,4,12,True
581,461,0,0,0,False
582,462,0,1,1,True
585,463,0,0,0,False
586,464,0,0,0,False
589,465,5,1,6,True
590,466,0,6,6,True
591,467,0,1,1,True
592,468,0,3,3,True
593,469,2,0,2,True
594,470,0,0,0,False
595,471,0,0,0,False
598,472,0,0,0,False
599,473,0,3,3,True
601,474,0,0,0,False
602,475,0,0,0,False
603,476,0,0,0,False
604,477,0,0,0,False
605,478,0,0,0,False
606,479,0,0,0,False
609,480,0,0,0,False
610,481,6,0,6,True
611,482,0,0,0,False
612,483,0,0,0,False
613,484,0,0,0,False
614,485,0,0,0,False
615,486,0,0,0,False
616,487,0,0,0,False
618,488,0,0,0,False
619,489,0,1,1,True
620,490,0,0,0,False
623,491,0,0,0,False
625,492,0,1,1,True
627,493,0,0,0,False
628,494,0,0,0,False
629,495,0,0,0,False
633,496,0,0,0,False
634,497,0,0,0,False
635,498,0,0,0,False
636,499,0,0,0,False
638,500,0,0,0,False
641,501,0,0,0,False
642,502,0,0,0,False
644,503,0,0,0,False
645,504,0,0,0,False
646,505,0,0,0,False
648,506,0,2,2,True
649,507,0,0,0,False
651,508,0,0,0,False
653,509,0,0,0,False
654,510,0,0,0,False
655,511,0,1,1,True
656,512,0,0,0,False
659,513,0,0,0,False
660,514,0,0,0,False
661,515,0,0,0,False
664,516,0,0,0,False
665,517,0,2,2,True
666,518,0,0,0,False
668,519,0,0,0,False
669,520,17,6,23,True
671,521,0,0,0,False
672,522,0,0,0,False
673,523,0,0,0,False
674,524,0,1,1,True
675,525,0,1,1,True
676,526,0,5,5,True
677,527,0,0,0,False
678,528,0,0,0,False
679,529,0,0,0,False
681,530,0,2,2,True
683,531,0,2,2,True
684,532,0,0,0,False
685,533,0,0,0,False
686,534,0,0,0,False
688,535,0,0,0,False
690,536,0,0,0,False
692,537,0,0,0,False
693,538,0,0,0,False
695,539,0,0,0,False
696,540,0,0,0,False
697,541,0,0,0,False
698,542,0,0,0,False
699,543,0,0,0,False
700,544,0,0,0,False
702,545,0,0,0,False
704,546,0,0,0,False
705,547,0,0,0,False
706,548,0,0,0,False
707,549,0,0,0,False
708,550,0,0,0,False
709,551,0,0,0,False
710,552,0,0,0,False
711,553,0,0,0,False
712,554,0,2,2,True
714,555,0,0,0,False
715,556,0,0,0,False
716,557,0,0,0,False
717,558,0,0,0,False
718,559,0,0,0,False
719,560,0,0,0,False
722,561,0,0,0,False
724,562,28,2,30,True
725,563,0,0,0,False
726,564,0,1,1,True
727,565,0,0,0,False
728,566,0,0,0,False
729,567,0,0,0,False
730,568,0,0,0,False
731,569,0,0,0,False
732,570,0,0,0,False
735,571,0,0,0,False
736,572,0,0,0,False
739,573,0,0,0,False
740,574,0,0,0,False
742,575,0,0,0,False
743,576,0,0,0,False
744,577,0,0,0,False
745,578,0,0,0,False
746,579,0,3,3,True
747,580,0,0,0,False
748,581,0,0,0,False
749,582,0,0,0,False
751,583,0,0,0,False
752,584,0,0,0,False
753,585,0,0,0,False
755,586,0,0,0,False
756,587,0,0,0,False
757,588,0,0,0,False
759,589,0,0,0,False
760,590,0,1,1,True
762,591,0,3,3,True
766,592,0,0,0,False
767,593,0,0,0,False
768,594,0,0,0,False
769,595,0,0,0,False
770,596,0,0,0,False
771,597,0,0,0,False
772,598,0,1,1,True
773,599,6,2,8,True
776,600,0,3,3,True
777,601,0,0,0,False
778,602,0,0,0,False
779,603,0,0,0,False
782,604,0,2,2,True
784,605,0,0,0,False
785,606,0,0,0,False
786,607,0,0,0,False
787,608,0,2,2,True
788,609,0,0,0,False
789,610,0,0,0,False
791,611,0,0,0,False
794,612,0,9,9,True
795,613,0,0,0,False
796,614,0,1,1,True
798,615,0,1,1,True
799,616,0,0,0,False
800,617,0,0,0,False
801,618,0,0,0,False
802,619,0,0,0,False
803,620,0,0,0,False
804,621,0,0,0,False
805,622,4,2,6,True
806,623,0,0,0,False
807,624,0,0,0,False
808,625,0,0,0,False
810,626,0,0,0,False
812,627,0,0,0,False
813,628,0,0,0,False
814,629,0,0,0,False
816,630,0,0,0,False
817,631,0,0,0,False
818,632,7,2,9,True
820,633,0,0,0,False
821,634,0,0,0,False
823,635,0,0,0,False
825,636,3,2,5,True
827,637,0,0,0,False
829,638,0,0,0,False
831,639,0,0,0,False
833,640,0,0,0,False
834,641,0,2,2,True
835,642,0,0,0,False
836,643,0,1,1,True
837,644,0,0,0,False
839,645,0,0,0,False
842,646,0,0,0,False
843,647,0,5,5,True
844,648,0,0,0,False
845,649,0,0,0,False
846,650,1,0,1,True
847,651,0,0,0,False
848,652,0,0,0,False
849,653,0,0,0,False
850,654,0,0,0,False
851,655,0,0,0,False
852,656,0,4,4,True
854,657,0,0,0,False
856,658,0,0,0,False
857,659,0,3,3,True
858,660,0,0,0,False
859,661,0,0,0,False
860,662,0,8,8,True
861,663,0,0,0,False
863,664,0,0,0,False
864,665,0,0,0,False
865,666,0,0,0,False
866,667,0,0,0,False
868,668,0,0,0,False
871,669,0,0,0,False
873,670,0,0,0,False
876,671,0,2,2,True
877,672,0,0,0,False
878,673,0,0,0,False
880,674,0,0,0,False
881,675,0,0,0,False
884,676,0,0,0,False
885,677,0,0,0,False
886,678,1,2,3,True
887,679,0,0,0,False
889,680,0,0,0,False
892,681,0,0,0,False
893,682,0,0,0,False
895,683,0,0,0,False
897,684,0,0,0,False
899,685,0,0,0,False
900,686,0,0,0,False
901,687,0,0,0,False
902,688,0,0,0,False
903,689,0,0,0,False
906,690,0,0,0,False
907,691,0,0,0,False
908,692,0,0,0,False
911,693,0,0,0,False
912,694,1,0,1,True
913,695,0,10,10,True
916,696,0,0,0,False
918,697,0,0,0,False
919,698,0,0,0,False
920,699,0,0,0,False
921,700,0,0,0,False
922,701,0,0,0,False
924,702,0,1,1,True
925,703,0,0,0,False
927,704,0,0,0,False
928,705,0,0,0,False
929,706,0,2,2,True
930,707,0,0,0,False
931,708,4,2,6,True
932,709,0,0,0,False
935,710,0,0,0,False
936,711,0,0,0,False
937,712,0,0,0,False
940,713,4,0,4,True
941,714,0,2,2,True
943,715,0,0,0,False
944,716,0,1,1,True
946,717,0,0,0,False
947,718,0,0,0,False
948,719,0,0,0,False
949,720,0,2,2,True
951,721,0,0,0,False
952,722,0,1,1,True
953,723,0,1,1,True
955,724,0,0,0,False
956,725,0,0,0,False
958,726,0,0,0,False
960,727,0,0,0,False
961,728,0,0,0,False
962,729,0,0,0,False
963,730,0,0,0,False
964,731,0,0,0,False
965,732,0,0,0,False
966,733,0,0,0,False
967,734,0,0,0,False
968,735,0,0,0,False
969,736,0,0,0,False
971,737,0,0,0,False
972,738,0,0,0,False
973,739,0,0,0,False
974,740,0,0,0,False
975,741,0,0,0,False
977,742,0,0,0,False
979,743,0,1,1,True
980,744,1,0,1,True
981,745,0,0,0,False
982,746,0,1,1,True
983,747,0,0,0,False
985,748,0,0,0,False
986,749,0,0,0,False
987,750,0,0,0,False
991,751,0,0,0,False
993,752,0,0,0,False
994,753,0,0,0,False
995,754,0,0,0,False
996,755,0,0,0,False
997,756,0,0,0,False
998,757,1,0,1,True
999,758,0,0,0,False
1000,759,0,0,0,False
1002,760,0,0,0,False
1003,761,0,0,0,False
1004,762,0,1,1,True
1005,763,0,0,0,False
1006,764,0,0,0,False
1007,765,0,0,0,False
1008,766,0,0,0,False
1009,767,0,0,0,False
1010,768,0,0,0,False
1011,769,0,0,0,False
1012,770,0,0,0,False
1014,771,0,0,0,False
1015,772,0,0,0,False
1016,773,0,0,0,False
1017,774,0,0,0,False
1018,775,0,0,0,False
1021,776,0,0,0,False
1022,777,0,0,0,False
1024,778,0,0,0,False
1026,779,0,0,0,False
1027,780,0,0,0,False
1029,781,0,0,0,False
1030,782,1,0,1,True
1031,783,0,0,0,False
1032,784,0,0,0,False
1033,785,0,0,0,False
1034,786,0,0,0,False
1035,787,0,0,0,False
1036,788,0,0,0,False
1037,789,0,1,1,True
1038,790,0,0,0,False
1041,791,0,0,0,False
1042,792,0,0,0,False
1043,793,0,0,0,False
1044,794,12,4,16,True
1045,795,12,1,13,True
1046,796,0,0,0,False
1047,797,0,0,0,False
1048,798,0,0,0,False
1049,799,0,0,0,False
1050,800,0,0,0,False
1051,801,0,0,0,False
1052,802,0,0,0,False
1053,803,0,0,0,False
1054,804,0,0,0,False
1056,805,0,0,0,False
1057,806,0,1,1,True
1059,807,0,1,1,True
1060,808,0,0,0,False
1061,809,0,0,0,False
1062,810,0,0,0,False
1063,811,0,0,0,False
1064,812,0,0,0,False
1067,813,0,0,0,False
1068,814,0,0,0,False
1069,815,0,0,0,False
1071,816,0,0,0,False
1072,817,0,0,0,False
1073,818,0,0,0,False
1074,819,0,0,0,False
1076,820,0,1,1,True
1077,821,0,2,2,True
1078,822,0,4,4,True
1082,823,0,0,0,False
1085,824,0,0,0,False
1086,825,0,0,0,False
1087,826,0,1,1,True
1089,827,0,0,0,False
1090,828,0,0,0,False
1091,829,0,1,1,True
1093,830,0,0,0,False
1094,831,0,1,1,True
1095,832,0,0,0,False
1098,833,0,0,0,False
1100,834,0,0,0,False
1101,835,3,1,4,True
1102,836,0,0,0,False
1103,837,0,0,0,False
1106,838,0,3,3,True
1107,839,0,0,0,False
1108,840,0,0,0,False
1109,841,0,1,1,True
1111,842,0,1,1,True
1112,843,0,0,0,False
1115,844,0,0,0,False
1117,845,0,0,0,False
1121,846,0,0,0,False
1123,847,0,0,0,False
1124,848,0,0,0,False
1125,849,0,0,0,False
1126,850,0,1,1,True
1127,851,0,0,0,False
1128,852,0,1,1,True
1131,853,0,1,1,True
1132,854,0,0,0,False
1133,855,0,1,1,True
1135,856,0,0,0,False
1137,857,0,0,0,False
1138,858,0,0,0,False
1139,859,0,1,1,True
1140,860,0,0,0,False
1141,861,0,0,0,False
1142,862,0,0,0,False
1143,863,0,1,1,True
1144,864,0,0,0,False
1146,865,0,0,0,False
1147,866,0,1,1,True
1148,867,0,0,0,False
1149,868,0,0,0,False
1151,869,0,0,0,False
1152,870,0,4,4,True
1153,871,0,1,1,True
1154,872,0,0,0,False
1155,873,0,0,0,False
1156,874,0,0,0,False
1157,875,0,2,2,True
1160,876,0,3,3,True
1161,877,0,0,0,False
1163,878,0,0,0,False
1164,879,0,0,0,False
1165,880,0,0,0,False
1166,881,0,1,1,True
1168,882,0,3,3,True
1169,883,0,0,0,False
1170,884,0,0,0,False
1171,885,0,0,0,False
1173,886,0,0,0,False
1174,887,0,0,0,False
1175,888,0,0,0,False
1176,889,0,0,0,False
1177,890,0,0,0,False
1178,891,0,0,0,False
1182,892,0,0,0,False
1183,893,0,5,5,True
1184,894,0,0,0,False
1186,895,0,0,0,False
1187,896,0,0,0,False
1188,897,0,0,0,False
1189,898,1,1,2,True
1190,899,0,2,2,True
1191,900,0,0,0,False
1192,901,0,3,3,True
1197,902,0,0,0,False
1198,903,0,0,0,False
1199,904,0,4,4,True
1204,905,0,3,3,True
1205,906,0,0,0,False
1208,907,0,0,0,False
1209,908,0,0,0,False
1211,909,0,0,0,False
1212,910,1,1,2,True
1214,911,0,0,0,False
1216,912,0,0,0,False
1217,913,0,0,0,False
1218,914,0,0,0,False
1219,915,0,0,0,False
1220,916,0,0,0,False
1221,917,0,0,0,False
1224,918,0,0,0,False
1226,919,0,0,0,False
1227,920,0,0,0,False
1228,921,0,0,0,False
1229,922,0,0,0,False
1230,923,0,0,0,False
1232,924,0,2,2,True
1234,925,0,0,0,False
1235,926,0,2,2,True
1236,927,0,0,0,False
1239,928,0,0,0,False
1240,929,0,0,0,False
1241,930,0,0,0,False
1242,931,0,0,0,False
1244,932,0,0,0,False
1247,933,0,0,0,False
1249,934,0,0,0,False
1251,935,0,0,0,False
1253,936,0,0,0,False
1254,937,0,0,0,False
1255,938,0,0,0,False
1256,939,0,0,0,False
1258,940,0,0,0,False
1259,941,0,0,0,False
1262,942,0,0,0,False
1263,943,0,0,0,False
1264,944,0,0,0,False
1266,945,4,5,9,True
1268,946,0,0,0,False
1269,947,2,0,2,True
1271,948,0,0,0,False
1272,949,0,0,0,False
1273,950,0,0,0,False
1275,951,0,0,0,False
1277,952,0,0,0,False
1279,953,39,4,43,True
1280,954,0,0,0,False
1282,955,0,0,0,False
1283,956,0,0,0,False
1284,957,0,0,0,False
1285,958,0,0,0,False
1286,959,0,0,0,False
1287,960,0,0,0,False
1288,961,0,0,0,False
1289,962,0,0,0,False
1291,963,0,0,0,False
1292,964,0,1,1,True
1293,965,0,0,0,False
1294,966,0,0,0,False
1295,967,0,2,2,True
1298,968,0,12,12,True
1299,969,0,0,0,False
1300,970,0,0,0,False
1303,971,0,0,0,False
1304,972,0,0,0,False
1305,973,0,0,0,False
1308,974,0,0,0,False
1309,975,0,0,0,False
1310,976,0,0,0,False
1313,977,0,0,0,False
1314,978,0,0,0,False
1315,979,1,0,1,True
1316,980,0,0,0,False
1317,981,0,2,2,True
1318,982,0,1,1,True
1320,983,0,0,0,False
1321,984,0,0,0,False
1322,985,0,0,0,False
1326,986,0,0,0,False
1327,987,0,0,0,False
1328,988,0,0,0,False
1329,989,0,1,1,True
1330,990,21,6,27,True
1331,991,0,1,1,True
1332,992,0,0,0,False
1334,993,0,1,1,True
1336,994,0,0,0,False
1339,995,0,0,0,False
1340,996,0,2,2,True
1342,997,0,0,0,False
1343,998,0,0,0,False
1344,999,0,0,0,False
1347,1000,0,0,0,False
1348,1001,0,0,0,False
1350,1002,0,0,0,False
1351,1003,0,0,0,False
1352,1004,0,0,0,False
1355,1005,0,0,0,False
1356,1006,0,0,0,False
1357,1007,0,1,1,True
1359,1008,1,0,1,True
1361,1009,0,0,0,False
1365,1010,0,9,9,True
1366,1011,0,1,1,True
1367,1012,0,0,0,False
1368,1013,0,0,0,False
1370,1014,0,12,12,True
1371,1015,0,0,0,False
1372,1016,0,0,0,False
1374,1017,0,7,7,True
1378,1018,1,0,1,True
1379,1019,0,0,0,False
1382,1020,0,0,0,False
1383,1021,0,0,0,False
1387,1022,0,0,0,False
1388,1023,20,1,21,True
1389,1024,0,0,0,False
1390,1025,0,0,0,False
1391,1026,0,0,0,False
1392,1027,0,0,0,False
1393,1028,0,0,0,False
1394,1029,0,0,0,False
1396,1030,0,0,0,False
1398,1031,0,0,0,False
1399,1032,0,0,0,False
1400,1033,0,0,0,False
1401,1034,0,0,0,False
1402,1035,0,0,0,False
1405,1036,0,0,0,False
1408,1037,105,5,110,True
1409,1038,0,0,0,False
1410,1039,0,0,0,False
1412,1040,0,0,0,False
1414,1041,0,0,0,False
1415,1042,0,0,0,False
1416,1043,0,0,0,False
1417,1044,0,0,0,False
1418,1045,0,0,0,False
1419,1046,0,2,2,True
1420,1047,0,4,4,True
1422,1048,0,0,0,False
1423,1049,0,0,0,False
1424,1050,0,0,0,False
1425,1051,0,0,0,False
1427,1052,0,0,0,False
1428,1053,0,0,0,False
1429,1054,0,0,0,False
1430,1055,0,0,0,False
1432,1056,0,0,0,False
1433,1057,0,0,0,False
1434,1058,0,0,0,False
1436,1059,0,0,0,False
1440,1060,0,0,0,False
1441,1061,0,0,0,False
1448,1062,0,0,0,False
1449,1063,0,0,0,False
1450,1064,0,0,0,False
1455,1065,0,0,0,False
1456,1066,0,0,0,False
1457,1067,0,0,0,False
1460,1068,0,0,0,False
1462,1069,0,0,0,False
1463,1070,0,0,0,False
1472,1071,0,0,0,False
1473,1072,0,0,0,False
1474,1073,0,0,0,False
1476,1074,0,0,0,False
1477,1075,0,0,0,False
1480,1076,0,0,0,False
1482,1077,0,0,0,False
1484,1078,0,0,0,False
1485,1079,0,0,0,False
1487,1080,0,0,0,False
1492,1081,0,2,2,True
1493,1082,45,6,51,True
1494,1083,0,0,0,False
1499,1084,0,0,0,False
1504,1085,0,3,3,True
1505,1086,1,0,1,True
1506,1087,0,0,0,False
1507,1088,0,3,3,True
1510,1089,0,0,0,False
1515,1090,0,0,0,False
1517,1091,0,0,0,False
1518,1092,0,0,0,False
1519,1093,9,0,9,True
1520,1094,0,0,0,False
1523,1095,0,3,3,True
1526,1096,0,0,0,False
1527,1097,0,0,0,False
1528,1098,0,0,0,False
1530,1099,0,0,0,False
1531,1100,0,0,0,False
1532,1101,0,0,0,False
1535,1102,0,0,0,False
1536,1103,0,0,0,False
1538,1104,0,0,0,False
1541,1105,0,0,0,False
1542,1106,0,1,1,True
1543,1107,0,0,0,False
1548,1108,0,2,2,True
1555,1109,0,0,0,False
1559,1110,0,0,0,False
1563,1111,0,0,0,False
1568,1112,0,0,0,False
1569,1113,0,0,0,False
1571,1114,0,0,0,False
1572,1115,0,0,0,False
1574,1116,0,0,0,False
1576,1117,0,0,0,False
1577,1118,0,0,0,False
1579,1119,0,0,0,False
