gene_orig_idx,gene_new_idx,out_degree,in_degree,total_degree,is_circuit
0,0,0,0,0,False
1,1,0,2,2,True
2,2,0,0,0,False
3,3,0,2,2,True
4,4,0,0,0,False
6,5,0,0,0,False
7,6,0,0,0,False
8,7,0,0,0,False
13,8,0,0,0,False
14,9,0,5,5,True
15,10,0,0,0,False
16,11,0,2,2,True
17,12,0,1,1,True
20,13,0,0,0,False
21,14,1,0,1,True
22,15,0,0,0,False
23,16,0,0,0,False
24,17,0,0,0,False
25,18,0,0,0,False
27,19,0,0,0,False
28,20,0,0,0,False
29,21,0,0,0,False
30,22,0,5,5,True
31,23,0,1,1,True
32,24,0,0,0,False
33,25,0,1,1,True
34,26,0,0,0,False
35,27,0,3,3,True
36,28,0,0,0,False
37,29,0,0,0,False
38,30,0,0,0,False
39,31,0,2,2,True
40,32,0,0,0,False
41,33,0,0,0,False
42,34,0,0,0,False
43,35,0,0,0,False
45,36,0,2,2,True
46,37,5,0,5,True
47,38,0,0,0,False
48,39,0,0,0,False
49,40,0,2,2,True
50,41,0,0,0,False
51,42,0,0,0,False
52,43,0,0,0,False
53,44,0,0,0,False
54,45,0,0,0,False
55,46,0,0,0,False
56,47,0,0,0,False
57,48,0,0,0,False
58,49,0,1,1,True
60,50,0,0,0,False
61,51,0,3,3,True
62,52,0,0,0,False
63,53,0,0,0,False
64,54,0,0,0,False
65,55,0,0,0,False
66,56,0,0,0,False
68,57,0,0,0,False
69,58,5,1,6,True
70,59,0,1,1,True
71,60,0,2,2,True
73,61,0,2,2,True
74,62,0,0,0,False
77,63,0,0,0,False
78,64,0,0,0,False
79,65,0,0,0,False
80,66,0,0,0,False
81,67,0,0,0,False
82,68,0,0,0,False
83,69,0,0,0,False
84,70,1,3,4,True
85,71,0,0,0,False
86,72,0,0,0,False
87,73,0,1,1,True
88,74,1,0,1,True
89,75,0,0,0,False
90,76,0,0,0,False
92,77,0,0,0,False
93,78,0,0,0,False
94,79,0,0,0,False
95,80,0,0,0,False
96,81,0,0,0,False
97,82,0,0,0,False
98,83,1,0,1,True
99,84,0,1,1,True
101,85,0,0,0,False
102,86,0,0,0,False
103,87,7,0,7,True
104,88,28,4,32,True
105,89,0,0,0,False
106,90,0,0,0,False
107,91,0,0,0,False
108,92,0,0,0,False
109,93,0,0,0,False
111,94,0,0,0,False
112,95,0,0,0,False
113,96,0,0,0,False
114,97,1,0,1,True
115,98,0,0,0,False
116,99,0,0,0,False
117,100,0,0,0,False
120,101,0,0,0,False
122,102,0,0,0,False
123,103,0,0,0,False
124,104,0,0,0,False
125,105,0,13,13,True
126,106,0,2,2,True
127,107,0,0,0,False
128,108,0,0,0,False
130,109,0,0,0,False
131,110,0,0,0,False
132,111,0,0,0,False
133,112,0,0,0,False
134,113,0,0,0,False
135,114,0,0,0,False
136,115,0,0,0,False
138,116,0,0,0,False
140,117,0,0,0,False
141,118,0,0,0,False
142,119,0,0,0,False
143,120,0,0,0,False
144,121,0,0,0,False
145,122,0,0,0,False
146,123,0,3,3,True
148,124,0,0,0,False
149,125,0,0,0,False
150,126,0,2,2,True
152,127,2,3,5,True
154,128,0,0,0,False
155,129,0,0,0,False
156,130,0,0,0,False
157,131,0,0,0,False
159,132,0,0,0,False
160,133,0,1,1,True
161,134,0,0,0,False
163,135,0,1,1,True
165,136,0,0,0,False
166,137,0,0,0,False
167,138,0,2,2,True
168,139,0,0,0,False
171,140,0,0,0,False
172,141,0,0,0,False
173,142,0,0,0,False
174,143,0,1,1,True
175,144,0,0,0,False
177,145,0,0,0,False
178,146,0,0,0,False
181,147,0,0,0,False
182,148,0,0,0,False
183,149,0,0,0,False
184,150,0,0,0,False
185,151,0,7,7,True
186,152,0,0,0,False
187,153,0,0,0,False
190,154,0,2,2,True
191,155,0,1,1,True
193,156,0,0,0,False
194,157,0,2,2,True
195,158,0,0,0,False
197,159,22,5,27,True
198,160,0,0,0,False
199,161,0,0,0,False
200,162,5,2,7,True
201,163,0,0,0,False
202,164,0,0,0,False
203,165,0,1,1,True
204,166,0,0,0,False
205,167,0,0,0,False
206,168,0,0,0,False
208,169,0,0,0,False
209,170,0,0,0,False
210,171,0,0,0,False
212,172,0,1,1,True
213,173,0,0,0,False
214,174,0,0,0,False
