sv_range,sv_start,sv_end,layer,n_pos,n_neg,rbc_raw,p_raw,rbc_resid,p_resid
SV2-4,1,4,0,589,1523,-0.06804883133213746,0.9924202411315348,-0.17027089996399303,0.9999999993862719
SV2-4,1,4,1,589,1523,-0.03580079973513084,0.8993202273854712,-0.12872792618446982,0.9999978262967668
SV2-4,1,4,2,589,1523,0.04032676102812893,0.075056945199009,-0.060067086785865254,0.9839713562364473
SV2-4,1,4,8,589,1523,0.1562002882792094,1.2420060885454154e-08,0.0828351245809863,0.0015575037529057885
SV5-7,4,7,0,589,1523,0.20496696382686752,1.2892243443919673e-13,0.1482698230973405,6.070232547685141e-08
SV5-7,4,7,1,589,1523,0.18610284633915508,1.5520959442333226e-11,0.11935717972413928,1.0242279735116042e-05
SV5-7,4,7,2,589,1523,0.1627685059980135,3.1462457352730537e-09,0.08310712816608268,0.0015091797734855374
SV5-7,4,7,8,589,1523,-0.02271787319950902,0.7912563669746793,-0.1039644522527805,0.9998964895474146
SV8-10,7,10,0,589,1523,0.08957947576882819,0.0006946975933161264,0.038636771540398684,0.08397551816098098
SV8-10,7,10,1,589,1523,0.07805722554113659,0.002671087173617701,-0.009418681518359673,0.6316289656298252
SV8-10,7,10,2,589,1523,0.07130730050933787,0.005467748261296445,-0.017161865543277033,0.7298988759954652
SV8-10,7,10,8,589,1523,0.10780706027666331,5.970225286033746e-05,0.06479816553647688,0.010376248188117887
SV11-14,10,14,0,589,1523,0.12863428560599388,2.209643947774699e-06,0.040302236114718615,0.07518098965305309
SV11-14,10,14,1,589,1523,0.12276168361301021,5.905666895341311e-06,0.042195113522479843,0.06605842755479892
SV11-14,10,14,2,589,1523,0.11516787860613764,1.9779857063435913e-05,0.030119937974264488,0.14121616924509217
SV11-14,10,14,8,589,1523,0.11220259362106999,3.1112273665768896e-05,0.0783537540396434,0.002585169742168865
SV15-20,14,20,0,589,1523,0.07564709541417558,0.0034708254823054914,-0.01892765930882101,0.7503286372421248
SV15-20,14,20,1,589,1523,0.07574296553023419,0.0034353002771764316,-0.031823304687491394,0.8719673295932806
SV15-20,14,20,2,589,1523,0.029471142537682016,0.14646463119917097,-0.07570506339132743,0.9965515193848431
SV15-20,14,20,8,589,1523,0.10233800458615883,0.00013001805601653202,0.06074932528618904,0.015080731121980578
SV21-30,20,30,0,589,1523,0.14734679453807886,7.264623682810992e-08,0.07065516076638123,0.005843116911235892
SV21-30,20,30,1,589,1523,0.12276614268817576,5.901354675153473e-06,0.046217199321774705,0.049538440468586235
SV21-30,20,30,2,589,1523,0.010972669213541786,0.3476955638218304,-0.08117857815699736,0.9981169476451859
SV21-30,20,30,8,589,1523,0.014910032584691812,0.2973405267582766,-0.03370949348250418,0.885522259880567
