sv_idx,mean_displacement,std_displacement,cohens_d,t_stat,p_val,layer,n_pairs,dominant_axis_explained,p_combined_dominant,cohens_d_combined
5,0.0032091112807393074,0.026638055220246315,0.12047092616558075,2.921264727397607,0.003619932851734443,0,589,0.3682604134082794,0.8122509504168072,-0.009799690917134285
6,-0.003632870502769947,0.026052257046103477,-0.13944551348686218,-3.3813742010876298,0.0007691088381653948,0,589,0.3682604134082794,0.8122509504168072,-0.009799690917134285
7,0.0029580264817923307,0.02783585898578167,0.10626675933599472,2.5768319014650514,0.010213676382949616,0,589,0.3682604134082794,0.8122509504168072,-0.009799690917134285
5,-0.002326364628970623,0.027389686554670334,-0.08493579179048538,-2.059583479143364,0.03987803599915702,1,589,0.3545496165752411,0.03126215512218622,-0.08903132379055023
6,0.005878000985831022,0.026222309097647667,0.2241603136062622,5.435598726958379,8.012725530585326e-08,1,589,0.3545496165752411,0.03126215512218622,-0.08903132379055023
7,-0.0024257623590528965,0.028034454211592674,-0.08652789890766144,-2.098189932670028,0.03631446391054636,1,589,0.3545496165752411,0.03126215512218622,-0.08903132379055023
5,0.0007262376602739096,0.02864249050617218,0.025355255231261253,0.614832261251179,0.5389033500960276,2,589,0.3959910273551941,0.8398080089635092,0.008339764550328255
6,0.008157839998602867,0.02458874322474003,0.3317713141441345,8.045027168104882,4.777412977333317e-15,2,589,0.3959910273551941,0.8398080089635092,0.008339764550328255
7,0.0005903622368350625,0.02871694415807724,0.02055797539651394,0.4985044049291049,0.618314982364815,2,589,0.3959910273551941,0.8398080089635092,0.008339764550328255
5,-0.005835318006575108,0.029885949566960335,-0.1952528953552246,-4.7346308615069015,2.7531377984036896e-06,3,589,0.4160982072353363,0.02733232185871209,-0.09123203158378601
6,-0.00932355597615242,0.022643856704235077,-0.41174769401550293,-9.984351216047077,8.633524567026031e-22,3,589,0.4160982072353363,0.02733232185871209,-0.09123203158378601
7,-0.001519769080914557,0.029958410188555717,-0.05072929710149765,-1.2301200930558103,0.21914405384903593,3,589,0.4160982072353363,0.02733232185871209,-0.09123203158378601
5,0.007265548221766949,0.030464911833405495,0.2384890615940094,5.783052220402457,1.1921240435168502e-08,4,589,0.4540358781814575,5.4240279069072064e-15,0.3310590386390686
6,0.0084434375166893,0.021584613248705864,0.39117854833602905,9.485575651720762,5.899594073227876e-20,4,589,0.4540358781814575,5.4240279069072064e-15,0.3310590386390686
7,0.005229858681559563,0.02803483046591282,0.1865486055612564,4.523563532280068,7.3589889313243644e-06,4,589,0.4540358781814575,5.4240279069072064e-15,0.3310590386390686
5,-0.00790382456034422,0.02157706767320633,-0.36630669236183167,-8.882465596187256,7.91896433216976e-18,5,589,0.5452958345413208,6.34145399307562e-20,-0.3908202648162842
6,-0.010313868522644043,0.030679482966661453,-0.33618131279945374,-8.151963301382064,2.166857008641307e-15,5,589,0.5452958345413208,6.34145399307562e-20,-0.3908202648162842
7,0.0018790368922054768,0.024278517812490463,0.07739504426717758,1.8767299709724123,0.06105009300066449,5,589,0.5452958345413208,6.34145399307562e-20,-0.3908202648162842
5,2.6753023121273145e-05,0.017812088131904602,0.001501958817243576,0.036420567509980156,0.9709593752969634,6,589,0.5555461049079895,2.2836264299732406e-22,0.4180760681629181
6,-0.005051912274211645,0.023813975974917412,-0.21214064955711365,-5.14413743389268,3.6670525136033286e-07,6,589,0.5555461049079895,2.2836264299732406e-22,0.4180760681629181
7,-0.012978024780750275,0.03249635174870491,-0.39936867356300354,-9.68417534100022,1.1174847018923884e-20,6,589,0.5555461049079895,2.2836264299732406e-22,0.4180760681629181
5,0.002119370736181736,0.021210601553320885,0.0999203473329544,2.4229396936602625,0.01569646011079877,7,589,0.5550497174263,2.7144124505954654e-22,-0.4172574579715729
6,0.0032322504557669163,0.021241549402475357,0.15216641128063202,3.6898395659139602,0.0002452328678613828,7,589,0.5550497174263,2.7144124505954654e-22,-0.4172574579715729
7,-0.013644522987306118,0.03262951970100403,-0.418164998292923,-10.1399624339829,2.241131341931762e-22,7,589,0.5550497174263,2.7144124505954654e-22,-0.4172574579715729
5,-0.01162245124578476,0.02749292552471161,-0.4227433502674103,-10.250981008895016,8.488107911928658e-23,8,589,0.576183021068573,3.1687906923491672e-28,0.4790346920490265
6,-0.004996703937649727,0.022911736741662025,-0.2180849015712738,-5.288277756371533,1.743855395754527e-07,8,589,0.576183021068573,3.1687906923491672e-28,0.4790346920490265
7,-0.011609693057835102,0.029803883284330368,-0.3895362615585327,-9.445752316593701,8.211660228497811e-20,8,589,0.576183021068573,3.1687906923491672e-28,0.4790346920490265
