layer,auroc_sv57,std_sv57,auroc_sv24,std_sv24
0,0.7075468975468976,0.04528803418803287,0.6568686868686868,0.031569112158822084
1,0.6954401154401154,0.051816037966342966,0.7005916305916304,0.028827051866443246
2,0.7189033189033189,0.05010443046290811,0.7042135642135643,0.02740964433134537
3,0.727979797979798,0.048705058911007945,0.7173737373737374,0.03363135825893725
4,0.6782683982683982,0.04246303357539636,0.7358730158730159,0.03012669093597412
5,0.6216305916305915,0.043680118469518706,0.7397835497835498,0.02047433452341562
6,0.586118326118326,0.049400340374720283,0.737907647907648,0.023283515788859566
7,0.6025396825396826,0.05117240802708689,0.7292207792207792,0.0367988568433637
8,0.5434343434343434,0.025555836658186743,0.7377056277056278,0.019388624039691656
9,0.6702453102453102,0.043267926047990554,0.6476767676767677,0.05260715828267134
10,0.6788167388167388,0.05380249021729769,0.6445021645021645,0.05143111807681968
11,0.6803896103896104,0.07395196421833672,0.6507936507936508,0.06377263209045977
