window,k,auroc,perm_mean,perm_std,perm_p_raw,perm_p_bonf
SV1-3,0,0.5795872835602343,0.5678545259583594,0.011528006410270705,0.14,1.0
SV2-4,1,0.5107733460932027,0.48783467994154284,0.011051811010705313,0.02,0.2
SV3-5,2,0.5945244018090574,0.5699325927228389,0.011230736055770685,0.02,0.2
SV4-6,3,0.5903274808962271,0.5731943583697731,0.011723627394408447,0.06,0.6
SV5-7,4,0.6106692878205701,0.6039600081863017,0.011292784694297349,0.28,1.0
SV6-8,5,0.5779384932016223,0.5727931863450181,0.012369604831445082,0.37,1.0
SV7-9,6,0.5870529601840189,0.5866779900899628,0.011452561963565245,0.45,1.0
SV8-10,7,0.6193859697164484,0.6238035892897807,0.011525360685524219,0.67,1.0
SV9-11,8,0.6038002888265629,0.6128436877560021,0.010727439467995094,0.87,1.0
SV10-12,9,0.6079251472237195,0.6149551482902448,0.011972543626943279,0.76,1.0
