layer,trrust_mean_dist,neg_mean_dist,coexpr_mean_dist,p_trrust_vs_neg,rbc_trrust_vs_neg,p_trrust_vs_coexpr,rbc_trrust_vs_coexpr
0,0.04101618379354477,0.0383833572268486,0.027624113485217094,0.9924202411315348,-0.06804883133213746,1.0,-0.4529258630447086
1,0.042096395045518875,0.04073575511574745,0.026715602725744247,0.8993202273854712,-0.03580079973513084,1.0,-0.5065195246179965
2,0.04439772665500641,0.04572267457842827,0.027495739981532097,0.075056945199009,0.04032676102812893,1.0,-0.5176230899830221
3,0.04184981808066368,0.044424645602703094,0.02735702507197857,0.008986714799680917,0.06630310340483836,1.0,-0.446213921901528
4,0.039778534322977066,0.04230186343193054,0.027797194197773933,0.025619518487566686,0.054627015083936525,1.0,-0.39087719298245616
5,0.037740420550107956,0.04215262085199356,0.027039816603064537,2.9280672338395977e-05,0.1126039103859664,1.0,-0.3549858517260893
6,0.03643365576863289,0.04123895987868309,0.026848576962947845,2.8008391821418073e-06,0.12724082461677033,0.9999999999999402,-0.303904923599321
7,0.03688888996839523,0.040617868304252625,0.02681567519903183,0.00014070478584437852,0.10176835773376425,0.9999999999999999,-0.33479343520090543
8,0.03201078996062279,0.03709264099597931,0.026510532945394516,1.2422899139584463e-08,0.15619917351041812,0.999996628599453,-0.18444821731748728
9,0.030445190146565437,0.03337147831916809,0.025982413440942764,0.037531914719168454,0.04988032957024546,0.9999682929215722,-0.16388228636106406
10,0.03375493362545967,0.035746581852436066,0.028905944898724556,0.19947713325149524,0.023636442683605208,0.9999888679794382,-0.1737634408602151
11,0.034865062683820724,0.038082752376794815,0.030318450182676315,0.004184945950130255,0.07388576072379704,0.9999118803264915,-0.15368421052631587
