layer,sv_group,tf_mean_mag,nontf_mean_mag,p_tf_vs_nontf,rbc_tf,target_mean_mag,p_tgt_vs_nontgt,rbc_tgt
0,SV1,0.021200081333518028,0.018217317759990692,0.01743060364700639,-0.16365891386446307,0.014780526049435139,1.5884720805379685e-06,0.183138937416504
0,SV2-4,0.027052633464336395,0.0348033644258976,0.00013226902252470567,0.2631028860491367,0.032389380037784576,0.1311588223049446,0.05759942451957656
0,SV5-7,0.03373296558856964,0.03489276021718979,0.8137795055282641,0.016220961830571756,0.03793783858418465,0.002240051121920995,-0.1166204227040728
0,SV8-10,0.03971970081329346,0.03440765663981438,0.21217345389350384,-0.08588469738987436,0.040922120213508606,4.038797692933946e-09,-0.22445449251532912
1,SV1,0.020359337329864502,0.01820293441414833,0.03834136824876711,-0.14257445059156337,0.015322375111281872,0.0004111991695649601,0.13479686911245847
1,SV2-4,0.02761242166161537,0.03461683541536331,0.001218659614322134,0.22264803021223822,0.033033210784196854,0.6030003743733554,0.01984636727982736
1,SV5-7,0.034153424203395844,0.03503325581550598,0.9664916692152532,0.0028985911174904677,0.036794815212488174,0.07316740373564141,-0.06836827321618189
1,SV8-10,0.03849741443991661,0.0338854119181633,0.19546510304592124,-0.08911774132861394,0.041048504412174225,3.092202842815685e-11,-0.2534340424074264
2,SV1,0.017419148236513138,0.01809837855398655,0.6272639609261572,-0.033431346590671485,0.017137546092271805,0.5389795996511613,-0.02344311992600967
2,SV2-4,0.031503234058618546,0.03458697348833084,0.4162487139937807,0.055965105422316364,0.034671224653720856,0.26169936177425135,-0.0428270475798993
2,SV5-7,0.032605405896902084,0.03535797819495201,0.16179935381476152,0.09630847698546519,0.036394018679857254,0.18385342493476164,-0.05070993046278227
2,SV8-10,0.03432388976216316,0.03375707194209099,0.7671642207881104,0.020387686561964324,0.03748088702559471,0.00042126096928810005,-0.13455280375432466
3,SV1,0.01582939550280571,0.01826062798500061,0.25533880966065314,0.07830376677489936,0.017695534974336624,0.3148428594619932,-0.038352516014112936
3,SV2-4,0.03178762272000313,0.034661371260881424,0.3178927545527619,0.06875792583508689,0.03331771120429039,0.26577509109869424,0.04246309046689278
3,SV5-7,0.03448067605495453,0.034768424928188324,0.7721163193575002,-0.019941749466965808,0.036676354706287384,0.018086900084275374,-0.09019499537560383
3,SV8-10,0.03267213702201843,0.03464488685131073,0.0844557199063317,0.1187725581460165,0.03740280494093895,0.0019450786302968861,-0.11822611584969
4,SV1,0.01933482103049755,0.0182275902479887,0.09247610323500612,-0.11581822489165128,0.017334774136543274,0.7904822235757383,-0.010139416983523386
4,SV2-4,0.028804922476410866,0.034699827432632446,0.00521352690441658,0.19229643668390028,0.03218647465109825,0.02605379084291512,0.08491333538862056
4,SV5-7,0.03225020691752434,0.034734420478343964,0.48571273491966505,0.047993979849217494,0.03535538166761398,0.07597999646218087,-0.06770886856438185
4,SV8-10,0.03386810049414635,0.03444116562604904,0.5772186848023659,0.03837846123831157,0.037200525403022766,0.0014463411018958486,-0.12153598465385529
5,SV1,0.020169289782643318,0.01809840463101864,0.013874280868789174,-0.16937248289413165,0.017117304727435112,0.9538679524274296,0.002209433768369129
5,SV2-4,0.02794117107987404,0.03490326926112175,0.0002615081875514515,0.2512994885658941,0.03167996555566788,0.00046856183435116985,0.13347377796047
5,SV5-7,0.03016645275056362,0.03432341292500496,0.04537751063682485,0.13775275575189172,0.031611911952495575,0.009565884252429662,0.09886787928613028
5,SV8-10,0.03136608749628067,0.03455980494618416,0.11358917167187585,0.10892013545339263,0.03766924515366554,0.00013973865551942174,-0.14532165245092998
6,SV1,0.019436197355389595,0.01821501925587654,0.06371658150227008,-0.1276355579091124,0.017063990235328674,0.8092105327783081,0.009214537731648043
6,SV2-4,0.02756235934793949,0.034586165100336075,0.0004423184844637013,0.2418511963656127,0.031237978488206863,0.00038185538028779725,0.13554191073202482
6,SV5-7,0.029114531353116035,0.03453798592090607,0.009618201540897637,0.17823548265722766,0.03141350671648979,0.00339890073666473,0.11176480663172683
6,SV8-10,0.02764257974922657,0.03451959416270256,3.5435470826538586e-05,0.28466115748547216,0.03441597521305084,0.9583381605624914,-0.0019953413489535166
7,SV1,0.019960202276706696,0.018157722428441048,0.03344847549812694,-0.14639278696748836,0.01699596270918846,0.6481391408617421,0.01741427739526602
7,SV2-4,0.027124620974063873,0.03457282483577728,0.0001230289005559293,0.2643292130603827,0.031048329547047615,0.00036871601334844913,0.13589302229986644
7,SV5-7,0.02849242463707924,0.034250494092702866,0.007091595876127618,0.18534260510876688,0.030867300927639008,0.0005724144713701708,0.13142277258246837
7,SV8-10,0.02626725658774376,0.034418992698192596,5.776155047154174e-06,0.3121280954305383,0.03340863063931465,0.5776728851970981,0.021246531702805438
8,SV1,0.021033022552728653,0.01837710291147232,0.022207613617759928,-0.1574157945344834,0.01750442199409008,0.46261602157940795,0.02802897954989214
8,SV2-4,0.024045195430517197,0.03337971121072769,5.1022744888532155e-06,0.3139257793447512,0.027248598635196686,3.8022018149535634e-11,0.25226937964580554
8,SV5-7,0.02992168255150318,0.03510092571377754,0.004970767408965774,0.19335553728452182,0.03220148757100105,0.00249567587762757,0.11537868667146234
8,SV8-10,0.02681538090109825,0.0344868041574955,0.00011942715027535109,0.264830892292256,0.03419977053999901,0.4652866547945892,-0.027861987462747928
9,SV1,0.021674493327736855,0.018513940274715424,0.013230346013280754,-0.17054306776850292,0.017861193045973778,0.49260052648167496,0.02618350289452953
9,SV2-4,0.020475951954722404,0.03243398293852806,2.701943402530281e-09,0.40948173748240635,0.025473369285464287,5.904736132926934e-12,0.26258435241324973
9,SV5-7,0.028709776699543,0.03541867807507515,0.00011233346768233517,0.26586212182444013,0.03237165883183479,0.001101922554278877,0.12450758743534407
9,SV8-10,0.02889963425695896,0.03459296375513077,0.00684161667256959,0.18616480162767035,0.033690113574266434,0.9175468159594877,-0.003952146062412121
10,SV1,0.019151471555233,0.017281368374824524,0.005345552027558273,-0.19173901531515214,0.016433939337730408,0.36107693784575867,-0.034849964032473535
10,SV2-4,0.02430570498108864,0.033679164946079254,2.209752863220453e-06,0.3258127900333059,0.027565792202949524,2.3850712743920943e-11,0.2548898708594526
10,SV5-7,0.02648111619055271,0.03530384600162506,2.9124896768838783e-07,0.3530567594308728,0.03139025345444679,5.662470173971618e-05,0.15363272017264418
10,SV8-10,0.03078957460820675,0.03454866632819176,0.08336764120595395,0.11919062417257764,0.0327167809009552,0.2974223871516243,0.039759103209673574
11,SV1,0.01147762592881918,0.014394684694707394,0.7625302434064681,0.02080575258852546,0.011504648253321648,0.17903228449906272,0.051272993525845245
11,SV2-4,0.030113397166132927,0.03471117094159126,0.03943232304912835,0.14178012514109728,0.030959466472268105,4.184671264187344e-05,0.15632600280889253
11,SV5-7,0.0255308598279953,0.035087715834379196,8.145844812979271e-08,0.3692219791245698,0.03147696703672409,0.0008134256010512875,0.12775322851368476
11,SV8-10,0.02986053004860878,0.03508640453219414,0.004649245490047768,0.19483270391170449,0.03203822672367096,0.007784477892624447,0.10154403452882543
