layer,compartment,go_term,n_ann,OR,p,emp_p,pole
8,ribosome,GO:0005840,0,,,,
9,mitochondrion,GO:0005739,14,2.4293478260869565,0.10195036174439852,0.08,bot
9,ER_lumen,GO:0005788,12,10.744186046511627,0.00024079204034241637,0.0,top
9,extracellular_vesicle,GO:0070062,48,1.161904761904762,0.4096874565975988,0.46,top
9,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.495,top
9,plasma_membrane,GO:0005886,74,0.8521303258145363,0.7370048396092337,0.71,bot
9,nucleus,GO:0005634,92,1.6953125,0.06894576854567945,0.07,bot
9,secreted,GO:0005615,47,4.9937888198757765,7.524831997137149e-06,0.0,top
9,ribosome,GO:0005840,0,,,,
10,mitochondrion,GO:0005739,14,13.772357723577235,1.831561419260293e-05,0.0,bot
10,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.005,top
10,extracellular_vesicle,GO:0070062,48,1.161904761904762,0.4096874565975988,0.36,top
10,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.61,top
10,plasma_membrane,GO:0005886,74,1.329275715155204,0.24114497374997718,0.23,bot
10,nucleus,GO:0005634,92,1.243781094527363,0.3011997384340524,0.32,bot
10,secreted,GO:0005615,47,3.872,0.00015128963289307818,0.0,top
10,ribosome,GO:0005840,0,,,,
11,mitochondrion,GO:0005739,14,1.225,0.47647848226837686,0.48,bot
11,ER_lumen,GO:0005788,12,18.452380952380953,1.9351359220331308e-05,0.0,top
11,extracellular_vesicle,GO:0070062,48,1.0083333333333333,0.5600229837151998,0.63,top
11,cytoskeleton,GO:0005856,7,0.4934640522875817,0.8695448037288483,0.845,top
11,plasma_membrane,GO:0005886,74,0.9548319327731093,0.6168066965656316,0.62,bot
11,nucleus,GO:0005634,92,1.378787878787879,0.19990135636985745,0.235,bot
11,secreted,GO:0005615,47,3.413151364764268,0.0005672793944190142,0.0,top
11,ribosome,GO:0005840,0,,,,
