layer_pair,spearman_r
L0-L1,0.950526
L1-L2,0.945201
L2-L3,0.979566
L3-L4,0.976530
L4-L5,0.970049
L5-L6,0.965514
L6-L7,0.951513
L7-L8,0.954481
L8-L9,0.958083
L9-L10,0.898825
L10-L11,0.662904
mean_adjacent_r,0.928472
null_mean_adj_r,0.002665
emp_p,0.0000
