group,n,n_tf,n_target,frac_tf,frac_target,mean_norm_L0,mean_norm_L11
high_sv1_L0,408,2,13,0.004901960784313725,0.031862745098039214,21.01323699951172,22.148473739624023
low_sv1_L0,408,33,63,0.08088235294117647,0.15441176470588236,21.02544403076172,22.058359146118164
high_sv1_L11,408,6,22,0.014705882352941176,0.05392156862745098,21.018310546875,22.036256790161133
low_sv1_L11,408,23,70,0.056372549019607844,0.1715686274509804,21.37227439880371,22.18836212158203
