hypothesis,layer,metric,value,irf4_rank,drift_from_L0,rank_BATF,rank_BACH2,rank_BCL6,rank_PAX5,gc_bcell_angle_deg,p10_minimal,p10_full
H01,0,gc_mean_rank,736.75,,0.0,1519.0,562.0,830.0,36.0,,,
H01,1,gc_mean_rank,692.5,,12.212385177612305,1335.0,524.0,880.0,31.0,,,
H01,2,gc_mean_rank,739.25,,13.886999130249023,1282.0,274.0,1377.0,24.0,,,
H01,3,gc_mean_rank,614.0,,15.550633430480957,1029.0,262.0,1146.0,19.0,,,
H01,4,gc_mean_rank,531.5,,16.285747528076172,493.0,486.0,1128.0,19.0,,,
H01,5,gc_mean_rank,492.5,,17.481016159057617,343.0,508.0,1100.0,19.0,,,
H01,6,gc_mean_rank,424.25,,18.90401840209961,346.0,387.0,948.0,16.0,,,
H01,7,gc_mean_rank,428.25,,20.554901123046875,268.0,388.0,1042.0,15.0,,,
H01,8,gc_mean_rank,351.25,,22.87288475036621,279.0,285.0,825.0,16.0,,,
H01,9,gc_mean_rank,300.75,,25.513626098632812,251.0,177.0,757.0,18.0,,,
H01,10,gc_mean_rank,296.0,,27.987462997436523,202.0,196.0,767.0,19.0,,,
H01,11,gc_mean_rank,306.5,,27.19758415222168,156.0,153.0,899.0,18.0,,,
H03,0,gc_plasma_angle_deg,84.56645202636719,,,,,,,84.30665588378906,0.0,0.0
H03,1,gc_plasma_angle_deg,85.69792938232422,,,,,,,84.9473876953125,0.0,0.0
H03,2,gc_plasma_angle_deg,86.36185455322266,,,,,,,86.91364288330078,0.0,0.0
H03,3,gc_plasma_angle_deg,88.3697280883789,,,,,,,85.3689956665039,0.1,0.0
H03,4,gc_plasma_angle_deg,88.96221160888672,,,,,,,82.88155364990234,0.1,0.0
H03,5,gc_plasma_angle_deg,89.40817260742188,,,,,,,80.12613677978516,0.1,0.0
H03,6,gc_plasma_angle_deg,88.12799072265625,,,,,,,79.61125946044922,0.1,0.0
H03,7,gc_plasma_angle_deg,87.91474151611328,,,,,,,77.306884765625,0.1,0.0
H03,8,gc_plasma_angle_deg,86.59538269042969,,,,,,,75.610107421875,0.1,0.0
H03,9,gc_plasma_angle_deg,88.13072204589844,,,,,,,74.90503692626953,0.1,0.0
H03,10,gc_plasma_angle_deg,85.34304809570312,,,,,,,75.0156478881836,0.1,0.0
H03,11,gc_plasma_angle_deg,82.44734191894531,,,,,,,76.4358139038086,0.1,0.0
