model,shape,or_GO0005615,p_GO0005615,ppi_obs_rate,ppi_null_rate,ppi_z,ppi_n_pairs,tf_target_auroc,n_tf,n_target
scgpt_L11,"(1672, 512)",1.545121860511244,0.0013050072507914564,0.484504132231405,0.1437293388429752,12.131454040412946,968,0.6507988165680474,100,338
geneformer_v1_10m,"(1672, 256)",0.9835931091058244,0.35424363300881795,0.11363636363636363,0.1455578512396694,-1.033690049760374,968,0.7477218934911243,100,338
geneformer_v2_104m,"(1672, 768)",1.3605801202688361,0.0007051385855711121,0.2830578512396694,0.14576446280991734,4.284530580220099,968,0.7540236686390532,100,338
