go_term,n_in_top_q,n_in_bot_q,OR,p,bh_fdr_sig
GO:0005615,21,5,6.367741935483871,0.00025746446015579904,False
GO:0005576,21,6,5.193548387096774,0.0007241104237534494,False
GO:0005788,9,0,inf,0.001339076455939058,False
GO:0042531,6,1,6.6521739130434785,0.056131826774910486,False
GO:0048661,4,0,inf,0.058877246947995766,False
GO:0030198,4,0,inf,0.058877246947995766,False
GO:1904707,4,0,inf,0.058877246947995766,False
GO:0032731,4,0,inf,0.058877246947995766,False
GO:0005796,4,0,inf,0.058877246947995766,False
GO:0009615,5,1,5.425531914893617,0.10248209286948112,False
GO:0062023,5,1,5.425531914893617,0.10248209286948112,False
GO:0008083,3,0,inf,0.12135922330097089,False
GO:0001819,3,0,inf,0.12135922330097089,False
GO:0043410,3,0,inf,0.12135922330097089,False
GO:0007179,3,0,inf,0.12135922330097089,False
GO:0042802,12,7,1.9285714285714286,0.15508705714206353,False
GO:0010629,7,3,2.5407407407407407,0.15944364139673217,False
GO:0050830,4,1,4.25,0.18134192059982698,False
GO:0042110,4,1,4.25,0.18134192059982698,False
GO:0071356,4,1,4.25,0.18134192059982698,False
GO:0006935,4,1,4.25,0.18134192059982698,False
GO:0001934,4,1,4.25,0.18134192059982698,False
GO:0014068,4,1,4.25,0.18134192059982698,False
GO:0050796,4,1,4.25,0.18134192059982698,False
GO:0032722,4,1,4.25,0.18134192059982698,False
GO:0044344,4,1,4.25,0.18134192059982698,False
GO:0048662,4,1,4.25,0.18134192059982698,False
GO:0008270,5,2,2.6595744680851063,0.21835775810590766,False
GO:0007186,5,2,2.6595744680851063,0.21835775810590766,False
GO:0045892,6,3,2.130434782608696,0.24390880685506242,False
GO:0007565,2,0,inf,0.2475728155339806,False
GO:0030307,2,0,inf,0.2475728155339806,False
GO:0051384,2,0,inf,0.2475728155339806,False
GO:0030101,2,0,inf,0.2475728155339806,False
GO:0002548,2,0,inf,0.2475728155339806,False
GO:0001916,2,0,inf,0.2475728155339806,False
GO:0043388,2,0,inf,0.2475728155339806,False
GO:0006508,2,0,inf,0.2475728155339806,False
GO:0007275,2,0,inf,0.2475728155339806,False
GO:0001570,2,0,inf,0.2475728155339806,False
GO:0005856,2,0,inf,0.2475728155339806,False
GO:0008134,2,0,inf,0.2475728155339806,False
GO:0010628,8,5,1.709090909090909,0.27735449473656715,False
GO:0043065,8,5,1.709090909090909,0.27735449473656715,False
GO:0070098,3,1,3.122448979591837,0.3088051523598962,False
GO:1902895,3,1,3.122448979591837,0.3088051523598962,False
GO:0001774,3,1,3.122448979591837,0.3088051523598962,False
GO:0071407,3,1,3.122448979591837,0.3088051523598962,False
GO:0042060,3,1,3.122448979591837,0.3088051523598962,False
GO:0050852,3,1,3.122448979591837,0.3088051523598962,False
GO:0042995,3,1,3.122448979591837,0.3088051523598962,False
GO:0050790,3,1,3.122448979591837,0.3088051523598962,False
GO:0070062,12,9,1.4333333333333333,0.31296463701881366,False
GO:0045785,4,2,2.0833333333333335,0.33906157606051873,False
GO:0006959,4,2,2.0833333333333335,0.33906157606051873,False
GO:0032729,4,2,2.0833333333333335,0.33906157606051873,False
GO:0098586,4,2,2.0833333333333335,0.33906157606051873,False
GO:0008285,5,3,1.7375886524822695,0.35772711491947906,False
GO:0061629,5,3,1.7375886524822695,0.35772711491947906,False
GO:0005125,6,4,1.565217391304348,0.37060655504255785,False
GO:0001228,8,7,1.1688311688311688,0.4999999999999998,False
GO:0009986,7,6,1.1925925925925926,0.4999999999999999,False
GO:0030335,5,4,1.2765957446808511,0.49999999999999994,False
GO:0043066,5,4,1.2765957446808511,0.49999999999999994,False
GO:0009314,1,0,inf,0.49999999999999994,False
GO:0038023,5,4,1.2765957446808511,0.49999999999999994,False
GO:0030217,1,0,inf,0.49999999999999994,False
GO:0140467,1,0,inf,0.49999999999999994,False
GO:0001525,5,4,1.2765957446808511,0.49999999999999994,False
GO:0042608,1,0,inf,0.49999999999999994,False
GO:0031901,1,0,inf,0.49999999999999994,False
GO:0023026,1,0,inf,0.49999999999999994,False
GO:0032689,1,0,inf,0.49999999999999994,False
GO:1904813,1,0,inf,0.49999999999999994,False
GO:0009749,1,0,inf,0.49999999999999994,False
GO:0048469,1,0,inf,0.49999999999999994,False
GO:0042127,1,0,inf,0.49999999999999994,False
GO:0010595,1,0,inf,0.49999999999999994,False
GO:0031410,2,1,2.04,0.5,False
GO:0033138,2,1,2.04,0.5,False
GO:0071260,2,1,2.04,0.5,False
GO:0002250,6,5,1.2260869565217392,0.5,False
GO:0031295,2,1,2.04,0.5,False
GO:0050728,2,1,2.04,0.5,False
GO:0045471,2,1,2.04,0.5,False
GO:0005102,4,3,1.3611111111111112,0.5,False
GO:0032355,2,1,2.04,0.5,False
GO:0045786,2,1,2.04,0.5,False
GO:0051897,2,1,2.04,0.5,False
GO:0031334,2,1,2.04,0.5,False
GO:0051091,2,1,2.04,0.5,False
GO:0043491,2,1,2.04,0.5,False
