seed,layer,auroc_joint,auroc_sv57,auroc_sv24,null_mean,p_perm,n_tf,n_tgt
main,0,0.7711111111111112,0.7154401154401154,0.634098124098124,0.4965939393939394,0.0,73,222
main,1,0.7658441558441558,0.6912409812409812,0.6882106782106783,0.4983186147186147,0.0,73,222
main,2,0.7812121212121212,0.7230303030303029,0.6999422799422799,0.5078909090909091,0.0,73,222
main,3,0.7891630591630592,0.7165223665223664,0.7025974025974027,0.5070857142857144,0.0,73,222
main,4,0.7603030303030303,0.6673593073593074,0.7200865800865801,0.49314516594516605,0.0,73,222
main,5,0.7574747474747474,0.6105050505050504,0.7253679653679653,0.508574025974026,0.0,73,222
main,6,0.7294805194805194,0.5711399711399711,0.7235930735930737,0.49314632034632033,0.0,73,222
main,7,0.7375613275613275,0.5843578643578644,0.7211255411255412,0.5043024531024531,0.0,73,222
main,8,0.7262626262626263,0.5318181818181819,0.7313708513708514,0.5030256854256854,0.0,73,222
main,9,0.714862914862915,0.6635930735930735,0.6552525252525252,0.50541443001443,0.0,73,222
main,10,0.7026695526695527,0.6838095238095236,0.6513131313131313,0.4946877344877344,0.0,73,222
main,11,0.6872005772005771,0.6858441558441559,0.6548484848484849,0.5045578643578643,0.0,73,222
seed43,0,0.784589247961341,0.7102966800641218,0.6773302279116231,0.49726327161210876,0.0,69,218
seed43,1,0.7757097553609181,0.695149037009502,0.6940733684919732,0.5049500964152127,0.0,69,218
seed43,2,0.8081993587807542,0.7412819738401133,0.7045320958111656,0.49939175940338726,0.0,69,218
seed43,3,0.8131856515577447,0.7031909950514603,0.7152934275027298,0.5023028483144762,0.0,69,218
seed43,4,0.7621732918244545,0.6137507840996214,0.7343011639523267,0.5000186789954232,0.0,69,218
seed43,5,0.799286759751876,0.6204981065446182,0.7409445205956835,0.4910802918012221,0.0,69,218
seed43,6,0.7351479915433404,0.5812292358803987,0.7303394280138467,0.5067949376205191,0.0,69,218
seed43,7,0.7248693167297818,0.5723938851845828,0.7156134563111307,0.4935580349882676,0.0,69,218
seed43,8,0.7139889180586855,0.5162134377250657,0.7193835234532909,0.5035475570940687,0.0,69,218
seed43,9,0.6972393885184582,0.5348755895267523,0.7214669051878355,0.4857663150802686,0.0,69,218
seed43,10,0.6980170991798899,0.6451531027112423,0.7040552470785028,0.49735341402783256,0.0,69,218
seed43,11,0.723122807425133,0.6713217015542596,0.7101270822201053,0.5174298956857096,0.0,69,218
seed44,0,0.7808005062490111,0.7410683963507884,0.6350830564784054,0.5087839371407478,0.0,72,211
seed44,1,0.786311765016084,0.7165859832305015,0.6809275958445393,0.49788526077097506,0.0,72,211
seed44,2,0.8023872804935926,0.7393682434213995,0.7037146021199178,0.49991615250751464,0.0,72,211
seed44,3,0.7885118388440647,0.7214085324052102,0.7051125876707272,0.4933607446079208,0.0,72,211
seed44,4,0.7738712229077678,0.6881543004798819,0.7345045615145283,0.5053394821494489,0.0,72,211
seed44,5,0.7601571481305701,0.6601360544217687,0.738564045773348,0.4962153245794442,0.0,72,211
seed44,6,0.7526920845857723,0.653641301481833,0.7389015451141698,0.49863227337446603,0.0,72,211
seed44,7,0.7531693297474028,0.6613215208564046,0.734327901703317,0.4936704846279597,0.0,72,211
seed44,8,0.7201466012761694,0.6083905500184571,0.7137425512840795,0.4989833254231925,0.0,72,211
seed44,9,0.7222570268417445,0.7048926857564731,0.6507857406528503,0.5043788008226546,0.0,72,211
seed44,10,0.7143010072245952,0.6993344934873175,0.6483314876338132,0.5008935927859515,0.0,72,211
seed44,11,0.7332969466856509,0.7041749723145072,0.6727706586510573,0.5140176237937034,0.0,72,211
