term,a,b,c,d,odds_ratio,p_value
GO:0005788,9,3,43,154,10.744186046511627,0.00024079204034241637
GO:0005615,21,26,31,131,3.413151364764268,0.0005672793944190142
GO:0005576,21,27,31,130,3.261648745519713,0.0008289135585611837
GO:0042531,6,2,46,155,10.108695652173912,0.003438102263776252
GO:0030198,4,1,48,156,13.0,0.014242412419741423
GO:0007155,7,7,45,150,3.3333333333333335,0.032228546371247294
GO:0032743,4,2,48,155,6.458333333333333,0.03476975070707442
GO:0004888,4,2,48,155,6.458333333333333,0.03476975070707442
GO:0009897,13,21,39,136,2.1587301587301586,0.04332906425513926
GO:0000977,5,4,47,153,4.069148936170213,0.04426955895337542
