term,a,b,c,d,odds_ratio,p_value
GO:0019886,5,0,47,157,inf,0.0008206912318698542
GO:0002381,5,0,47,157,inf,0.0008206912318698542
GO:0002503,5,0,47,157,inf,0.0008206912318698542
GO:0042613,5,0,47,157,inf,0.0008206912318698542
GO:0005615,19,28,33,129,2.6525974025974026,0.005618814997056826
GO:0009986,14,17,38,140,3.0340557275541795,0.0062017904805381704
GO:0003682,6,3,46,154,6.695652173913044,0.008315048806117192
GO:0003677,14,18,38,139,2.845029239766082,0.008898853004224936
GO:0005509,5,2,47,155,8.24468085106383,0.011259375575030473
GO:0015026,4,1,48,156,13.0,0.014242412419741423
