term,a,b,c,d,odds_ratio,p_value
GO:0032753,8,0,44,157,inf,9.54487888771635e-06
GO:0009897,17,17,35,140,4.0,0.00045730852179466945
GO:0042130,6,1,46,156,20.347826086956523,0.001066490356492712
GO:0007166,8,4,44,153,6.954545454545454,0.001984637404178837
GO:0002250,10,10,42,147,3.5,0.00962150124658728
GO:0070062,28,20,24,137,7.991666666666666,8.693956855936197e-09
GO:0005856,6,1,46,156,20.347826086956523,0.001066490356492712
GO:0005739,9,5,43,152,6.362790697674418,0.0014207826285022353
GO:0043065,10,10,42,147,3.5,0.00962150124658728
GO:0032355,5,2,47,155,8.24468085106383,0.011259375575030473
