layer,family,mean_margin,std_margin,n_tfs,overall_auroc
0,Other,-0.7071490644132118,0.20411904770648337,45,0.5702099737532809
0,bZIP,-0.8022177414411686,0.05650607370379298,4,0.5702099737532809
0,C2H2-ZF,-0.7392260265372833,0.007142667926840263,2,0.5702099737532809
0,bHLH,-0.29322744240860155,0.0,1,0.5702099737532809
0,ETS,-0.4030823593000264,0.15525869208698867,2,0.5702099737532809
0,Unknown,-0.747785128650567,0.0014086723350943964,2,0.5702099737532809
0,GATA,-0.7169567053916264,0.0,1,0.5702099737532809
0,Rel,-0.5498924133419056,0.0,1,0.5702099737532809
0,RUNX,-0.5766657238296549,0.019787997638103627,2,0.5702099737532809
1,Other,-0.7230643500229624,0.14548757952662314,45,0.5695538057742783
1,bZIP,-0.7609893962667003,0.03404310623470195,4,0.5695538057742783
1,C2H2-ZF,-0.729373487430486,0.00017948701480619,2,0.5695538057742783
1,bHLH,-0.46273539438358186,0.0,1,0.5695538057742783
1,ETS,-0.48858339768930226,0.10337200582581504,2,0.5695538057742783
1,Unknown,-0.7339018329285045,0.0002484729842872069,2,0.5695538057742783
1,GATA,-0.7193653664522244,0.0,1,0.5695538057742783
1,Rel,-0.6070910237228342,0.0,1,0.5695538057742783
1,RUNX,-0.6331570177522574,0.01263368822454164,2,0.5695538057742783
2,Other,-0.7323976155107554,0.11407241652555002,45,0.49409448818897633
2,bZIP,-0.7715714526084382,0.037271411901468585,4,0.49409448818897633
2,C2H2-ZF,-0.7119297881657747,0.004631518308305216,2,0.49409448818897633
2,bHLH,-0.743259008638512,0.0,1,0.49409448818897633
2,ETS,-0.5751878156258025,0.08135673876161087,2,0.49409448818897633
2,Unknown,-0.717970291493734,0.0007281863658333276,2,0.49409448818897633
2,GATA,-0.7167445858420435,0.0,1,0.49409448818897633
2,Rel,-0.6639737335744824,0.0,1,0.49409448818897633
2,RUNX,-0.6498264323383321,0.02051672272064098,2,0.49409448818897633
3,Other,-0.7391048204821745,0.09053318429714707,45,0.5893700787401575
3,bZIP,-0.755728873889314,0.024631924707416715,4,0.5893700787401575
3,C2H2-ZF,-0.7293470365400527,0.0018953706224001943,2,0.5893700787401575
3,bHLH,-0.5042533748787508,0.0,1,0.5893700787401575
3,ETS,-0.6336114738824534,0.0554162875315059,2,0.5893700787401575
3,Unknown,-0.7322821995344333,0.0009688011814273367,2,0.5893700787401575
3,GATA,-0.7119781560389523,0.0,1,0.5893700787401575
3,Rel,-0.719678158291788,0.0,1,0.5893700787401575
3,RUNX,-0.7063587503378203,0.008742357061650274,2,0.5893700787401575
4,Other,-0.7235939459912999,0.15460491399616774,45,0.5556430446194226
4,bZIP,-0.7944847573710221,0.06335928005033076,4,0.5556430446194226
4,C2H2-ZF,-0.6662923784782664,0.02095836278811597,2,0.5556430446194226
4,bHLH,-0.4420753254082347,0.0,1,0.5556430446194226
4,ETS,-0.5892532286702789,0.1434314747660531,2,0.5556430446194226
4,Unknown,-0.6839652894332081,0.0008078497099958115,2,0.5556430446194226
4,GATA,-0.6911728212105541,0.0,1,0.5556430446194226
4,Rel,-0.7178951731596078,0.0,1,0.5556430446194226
