layer,auroc,n_pos,n_neg,n_pos_disp,mean_dir_magnitude,mean_dir_cosine_self
0,0.5633850188119941,245,716,245,45.392124,1.0000001192092896
1,0.5541215368829097,245,716,245,35.739822,1.0
2,0.5533633565157907,245,716,245,24.586815,1.0
3,0.5237601185725688,245,716,245,21.900873,1.0
4,0.5346995781552845,245,716,245,27.325117,0.9999998807907104
5,0.5164747463231103,245,716,245,27.929998,0.9999999403953552
6,0.5038479078782351,245,716,245,50.247074,0.9999998807907104
7,0.48922585794094176,245,716,245,46.471607,0.9999999403953552
8,0.5015904685896705,245,716,245,57.89654,1.0
9,0.5004047429027477,245,716,245,58.17201,0.9999999403953552
10,0.5164348420932618,245,716,245,48.536774,1.0
11,0.5206475886443963,245,716,245,41.171436,1.0
