sv,spearman_rho,p_val,n,layer
5,0.16721224503845944,0.004796697860109237,283,0
6,-0.05726600766845859,0.3371118402134442,283,0
7,0.16893242416983686,0.004374463149182377,283,0
5,-0.07198839866146635,0.22734002453289967,283,8
6,0.07911769937123815,0.1844570198421344,283,8
7,-0.015703551889900656,0.7925339113304066,283,8
