layer,sv5_mean_disp,sv5_cohens_d,sv5_t_stat,sv5_p_val,sv6_mean_disp,sv6_cohens_d,sv6_t_stat,sv6_p_val,sv7_mean_disp,sv7_cohens_d,sv7_t_stat,sv7_p_val,combined_magnitude,n_pairs,sv5_var_explained,sv6_var_explained,sv7_var_explained
0,0.0032091112807393074,0.12047092616558075,2.921264727397607,0.003619932851734443,-0.003632870502769947,-0.13944551348686218,-3.3813742010876298,0.0007691088381653948,0.0029580264817923307,0.10626675933599472,2.5768319014650514,0.010213676382949616,0.005678562447428703,589,0.02061634138226509,0.016557808965444565,0.014323598705232143
1,-0.002326364628970623,-0.08493579179048538,-2.059583479143364,0.03987803599915702,0.005878000985831022,0.2241603136062622,5.435598726958379,8.012725530585326e-08,-0.0024257623590528965,-0.08652789890766144,-2.098189932670028,0.03631446391054636,0.00677105225622654,589,0.023103123530745506,0.01871141977608204,0.01539349090307951
2,0.0007262376602739096,0.025355255231261253,0.614832261251179,0.5389033500960276,0.008157839998602867,0.3317713141441345,8.045027168104882,4.777412977333317e-15,0.0005903622368350625,0.02055797539651394,0.4985044049291049,0.618314982364815,0.008211350999772549,589,0.025677286088466644,0.021525098010897636,0.016194043681025505
3,-0.005835318006575108,-0.1952528953552246,-4.7346308615069015,2.7531377984036896e-06,-0.00932355597615242,-0.41174769401550293,-9.984351216047077,8.633524567026031e-22,-0.001519769080914557,-0.05072929710149765,-1.2301200930558103,0.21914405384903593,0.01110356766730547,589,0.028604397550225258,0.02594945579767227,0.01985970139503479
4,0.007265548221766949,0.2384890615940094,5.783052220402457,1.1921240435168502e-08,0.0084434375166893,0.39117854833602905,9.485575651720762,5.899594073227876e-20,0.005229858681559563,0.1865486055612564,4.523563532280068,7.3589889313243644e-06,0.012305732816457748,589,0.029498856514692307,0.027403831481933594,0.023606711998581886
5,-0.00790382456034422,-0.36630669236183167,-8.882465596187256,7.91896433216976e-18,-0.010313868522644043,-0.33618131279945374,-8.151963301382064,2.166857008641307e-15,0.0018790368922054768,0.07739504426717758,1.8767299709724123,0.06105009300066449,0.013129244558513165,589,0.030186308547854424,0.029082415625452995,0.025476282462477684
6,2.6753023121273145e-05,0.001501958817243576,0.036420567509980156,0.9709593752969634,-0.005051912274211645,-0.21214064955711365,-5.14413743389268,3.6670525136033286e-07,-0.012978024780750275,-0.39936867356300354,-9.68417534100022,1.1174847018923884e-20,0.013926653191447258,589,0.03205841779708862,0.0312718041241169,0.029133232310414314
7,0.002119370736181736,0.0999203473329544,2.4229396936602625,0.01569646011079877,0.0032322504557669163,0.15216641128063202,3.6898395659139602,0.0002452328678613828,-0.013644522987306118,-0.418164998292923,-10.1399624339829,2.241131341931762e-22,0.014181402511894703,589,0.03512856736779213,0.032251596450805664,0.02944110706448555
8,-0.01162245124578476,-0.4227433502674103,-10.250981008895016,8.488107911928658e-23,-0.004996703937649727,-0.2180849015712738,-5.288277756371533,1.743855395754527e-07,-0.011609693057835102,-0.3895362615585327,-9.445752316593701,8.211660228497811e-20,0.01717071421444416,589,0.03897019103169441,0.03338807076215744,0.028833111748099327
9,-0.014627608470618725,-0.5285245180130005,-12.81603810590987,2.4615271024026838e-33,-0.007805315777659416,-0.30915993452072144,-7.496729737515352,2.4208638666578913e-13,0.011125258170068264,0.4030451476573944,9.773325523725818,5.2534808944296185e-21,0.019966505467891693,589,0.04050006717443466,0.036245036870241165,0.030583471059799194
10,-0.0018752862233668566,-0.09270337224006653,-2.2479373147007617,0.024949922509288614,0.011630741879343987,0.4569631516933441,11.080767894084273,4.7982238354851956e-26,0.014065645635128021,0.48317527770996094,11.716377821248203,1.215700515450269e-28,0.018347563222050667,589,0.03950769081711769,0.037128664553165436,0.03101218119263649
11,-0.00038050051080062985,-0.02028174325823784,-0.49180609212925464,0.6230399725773934,-0.013232403434813023,-0.5103799700737,-12.37605748547524,1.987483884558647e-31,-0.01079790573567152,-0.39960867166519165,-9.689995558326594,1.0639123019482831e-20,0.01708320714533329,589,0.044299133121967316,0.03125452995300293,0.03072609007358551
