layer,subspace,real_t_mean,null_mean,null_std,perm_p,n_ffls
5,SV5_7,0.57238054,0.50783455,0.18271369,0.3665,264
6,SV5_7,0.5834219,0.5019495,0.18124476,0.3245,264
7,SV5_7,0.5935069,0.49934328,0.17998429,0.2965,264
8,SV5_7,0.55473346,0.4962337,0.17514785,0.379,264
