layer,seed,gene,margin,t_dual,d_dual_to_tf,d_dual_to_tgt,d_tf_to_tgt
0,seed43,SPI1,-2.5902874074167843,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,FOXO3,-1.531470976650747,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,GFI1B,-2.521705224252299,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,KLF1,-2.1584181332243344,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,HDAC9,-0.857680520207357,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,MEF2C,-1.269832389672408,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,HEY1,-1.500647338522591,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,LEF1,0.11351244116212555,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,LYL1,-2.596209780185478,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,NFKBIA,-2.8138716964579342,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,NFKBIZ,-2.0599487049976153,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,STAT4,0.36036386056254077,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,TNFAIP3,-1.774868613930983,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,PBX1,-1.280022197490056,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed43,SOX9,-1.5699087377399294,-0.06588626,0.16719541,1.3797593,1.2873943
0,seed44,BCL11A,-0.6251399567718636,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,GATA1,-1.2062860931277524,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,BCL6,-1.804319341307191,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,NFKB1,-1.3663637933209642,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,STAT3,-1.7742820613447003,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,CEBPB,-3.0511690404603393,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,PRDM1,-1.2739838379004502,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,PPARG,-0.7860603608345045,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,CREM,-1.4186973654750306,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,FOS,-2.640496298544421,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,CTNNB1,-1.2985421177270235,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,JUN,-2.4172982355940316,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,RB1,-1.4354819485421646,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,DACH1,0.15528842466652737,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,EGR1,-2.6764803888027964,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,ERG,-0.12725541364701476,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,ZEB1,-0.9605424750228801,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,ESR1,-0.6429678544578521,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,RUNX2,-0.582266398741536,-0.10906708,0.2704148,1.4974145,1.334427
