subset,n_genes,or_extracellular,p_extracellular,ppi_copole_rate,ppi_n_pairs,tf_target_auroc,n_tf,n_target
curated_209,209,3.286445012787724,0.0007305255093808465,0.26239669421487605,968,0.6384057971014493,69,140
trrust_in_vocab,442,2.361115668580804,0.0006752071745813629,0.34710743801652894,968,0.6630469498562759,101,341
annotated_in_vocab,1671,1.9201628035765173,3.698436501421218e-05,0.4194214876033058,968,0.6602058823529412,100,340
union_broader,1673,1.9236683495437952,3.631408980634425e-05,0.4194214876033058,968,0.6630469498562759,101,341
full_vocab,4803,1.8071604982783798,7.901348886645822e-05,0.6456611570247934,968,0.6630469498562759,101,341
