layer,mean_displacement,n_common
1,2.5134685396008174,1972
2,3.685247664518429,1972
3,2.6799154620170893,1972
4,3.3370569517351085,1972
5,3.884319401365789,1972
6,1.3752654090639813,1972
7,2.3264346739512236,1972
8,3.7121056928566865,1972
9,2.06529443210792,1972
10,0.830719454994322,1972
11,1.2800040078331412,1972
