layer,tf_gene,margin,dist_to_tgt_centroid,dist_to_tf_centroid,family
2,MYBL1,0.59586763,4.522418,3.9265504,Other
2,PAX5,-0.25129557,5.885429,6.1367245,Other
2,CEBPD,0.23614192,3.2925801,3.0564382,Other
2,NCOA4,0.7731414,4.3882055,3.6150641,Other
2,DACH1,0.650095,5.017783,4.367688,Other
3,NFIX,1.389112,4.3427243,2.9536123,Rel
3,RUNX3,0.49154496,4.4608984,3.9693534,RUNX
3,HDAC9,1.1559727,4.7707243,3.6147516,Other
3,PRDM1,0.38693237,2.7001936,2.3132613,Other
3,MXD1,0.84968877,4.287814,3.4381254,bHLH
3,HIPK2,1.2419255,4.1614165,2.919491,Other
3,YBX1,1.1830804,4.314746,3.1316655,Other
3,SPI1,-0.21005464,3.8562691,4.0663238,C2H2-ZF
3,RORA,1.1803646,5.8268776,4.646513,Other
3,MEF2C,1.186101,3.8485932,2.6624923,Other
3,ESR1,0.43062615,3.6468902,3.216264,Nuclear receptor
3,CREM,1.097737,3.0363216,1.9385847,Other
3,NFKBIA,0.39548087,3.4277337,3.0322528,Rel
3,SLA2,0.14601707,4.838775,4.692758,Other
3,GATA1,-0.35612488,4.010428,4.366553,GATA
3,TRPS1,1.381211,4.4666634,3.0854523,Other
3,LYL1,-0.05855131,3.0698307,3.128382,Other
3,KLF1,-0.4507017,4.546282,4.9969835,C2H2-ZF
3,NFKB1,1.4450173,4.556595,3.1115775,Rel
3,ZBTB16,1.2066469,4.162379,2.9557319,Other
3,SOX6,0.4578867,4.9922624,4.5343757,Other
3,POU2AF1,-0.5267334,4.7474756,5.274209,Other
3,BACH2,1.2025194,4.469737,3.2672176,Other
3,BCL6,0.31091332,2.91989,2.6089766,Other
3,FHL2,1.1503246,3.569954,2.4196293,Other
3,TNFAIP3,0.6046717,3.491388,2.8867164,Other
3,FOXO3,1.3993402,5.48068,4.08134,Forkhead
3,NR4A3,0.2449665,4.08236,3.8373933,Nuclear receptor
3,BCL11A,1.7305508,3.979574,2.2490232,Other
3,MSX2,-0.91306615,3.2303874,4.1434536,Other
3,EGR1,0.16606355,3.6738026,3.507739,C2H2-ZF
3,RUNX2,0.5704706,3.5568237,2.9863532,RUNX
3,SOX9,-0.8690021,2.0170374,2.8860395,Other
3,FOSB,0.11566234,3.510661,3.3949986,bZIP
3,KLF2,-0.18903828,2.4199355,2.6089737,C2H2-ZF
3,PPARG,1.0846424,3.6101773,2.5255349,Nuclear receptor
3,ETS1,0.6612165,4.2308173,3.5696008,ETS
3,NR5A1,-1.1388404,3.279476,4.4183164,Nuclear receptor
3,STAT4,0.84738064,5.077111,4.22973,STAT
3,LEF1,0.2998414,4.86806,4.5682187,Other
