seed,layer,eff_rank_full,eff_rank_sv27,spec_entropy_full,auroc_joint6d,p_perm
main,0,236.89116,5.4358892,5.4676008224487305,0.7705050505050506,0.0
main,1,230.38089,5.566343,5.439733982086182,0.7652236652236653,0.0
main,2,213.96915,5.6237645,5.3658318519592285,0.7815295815295815,0.0
main,3,186.46559,5.7147045,5.228246688842773,0.7894805194805194,0.0
main,4,155.9946,5.722563,5.049821376800537,0.7603030303030303,0.0
main,5,141.09767,5.7467284,4.9494524002075195,0.7574747474747474,0.0
main,6,125.457596,5.7697983,4.831967830657959,0.73007215007215,0.0
main,7,107.14468,5.6989627,4.674180030822754,0.7384992784992784,0.0
main,8,88.71968,5.625492,4.4854817390441895,0.7268975468975469,0.0
main,9,74.65216,5.511727,4.312839508056641,0.714862914862915,0.0
main,10,59.916775,5.250815,4.09295654296875,0.7020634920634921,0.0
main,11,48.744476,5.281093,3.886591911315918,0.6875180375180375,0.0
seed43,0,235.2412,5.4505653,5.460611343383789,0.7842570220477196,0.0
seed43,1,227.20209,5.582211,5.425839900970459,0.7760419812745394,0.0
seed43,2,210.32205,5.641748,5.348639965057373,0.8078845573031618,0.0
seed43,3,183.70903,5.720002,5.213353157043457,0.8131856515577447,0.0
seed43,4,153.11525,5.697375,5.031190872192383,0.7621732918244545,0.0
seed43,5,137.43854,5.709923,4.9231767654418945,0.7986374091025255,0.0
seed43,6,121.526665,5.699872,4.80013370513916,0.7351479915433404,0.0
seed43,7,102.55798,5.5857525,4.630428314208984,0.7248617661408358,0.0
seed43,8,85.39313,5.4493194,4.447265625,0.7136566921450641,0.0
seed43,9,71.44205,5.298608,4.268886566162109,0.6961904374695073,0.0
seed43,10,56.462486,5.2108364,4.033576488494873,0.6980170991798899,0.0
seed43,11,45.48233,5.2780523,3.817323923110962,0.7234724577747833,0.0
seed44,0,235.27092,5.4579153,5.460737705230713,0.7804603701945894,0.0
seed44,1,228.23354,5.58577,5.4303693771362305,0.7866519010705058,0.0
seed44,2,210.87497,5.6489916,5.3512654304504395,0.8017296841217106,0.0
seed44,3,183.39447,5.7399917,5.211639404296875,0.7881943785266043,0.0
seed44,4,153.26572,5.7364836,5.032173156738281,0.7732136265358858,0.0
seed44,5,139.0543,5.751159,4.934864521026611,0.7601571481305701,0.0
seed44,6,122.91709,5.7765718,4.81151008605957,0.7523598586721512,0.0
seed44,7,104.49761,5.673435,4.649164199829102,0.7531693297474028,0.0
seed44,8,87.0867,5.562924,4.466904163360596,0.7198291409587091,0.0
seed44,9,73.958176,5.443725,4.303499698638916,0.7219327110689238,0.0
seed44,10,60.653618,5.2359304,4.105179309844971,0.7143010072245952,0.0
seed44,11,51.19906,5.28916,3.9357211589813232,0.7333117122818119,0.0
