layer,n_terms,obs_mean_cosine_dist,null_mean,null_std,z_score,frac_terms_below_null
0,80,0.42862455267459154,0.44957076226361103,0.011496715267417065,-1.8219299251988423,0.5125
1,80,0.37650844156742097,0.3996216113306582,0.015293302107723408,-1.511326304739205,0.5125
2,80,0.3511083800345659,0.37214775806292894,0.018231932982333367,-1.1539850463248236,0.5
3,80,0.3414517631754279,0.3613729434274137,0.014147510767855583,-1.4081049717834753,0.5
4,80,0.3145997672341764,0.33808565647806965,0.022991724693143353,-1.0214931483533205,0.5125
5,80,0.303840278275311,0.3142669558851049,0.018443659786093112,-0.5653258480234208,0.4875
6,80,0.29494008580222725,0.30871569633018225,0.013875965805668182,-0.9927676905441097,0.5
7,80,0.28418695703148844,0.30242225192021577,0.014795579221370448,-1.232482663548321,0.5125
8,80,0.2738169115036726,0.29538136091083284,0.014002214871548587,-1.540074167083198,0.525
9,80,0.24795374562963843,0.268713101176545,0.02247136130684609,-0.9238138830360161,0.525
10,80,0.22094346387311817,0.23327583999140183,0.018906839441435536,-0.6522706323196575,0.5
11,80,0.2101503279292956,0.21756576622719875,0.015282179681703794,-0.4852343351449961,0.4875
