layer,SV1_var_frac,SV2_var_frac,SV3_var_frac,SV1_SV2_ratio,SV1_magnitude,SV2_magnitude,SV3_magnitude
0,0.1905,0.0571,0.0327,1.826,78.846,43.18,32.646
1,0.2461,0.0566,0.0302,2.085,80.535,38.622,28.235
2,0.2813,0.0581,0.031,2.2,82.397,37.457,27.354
3,0.2958,0.0658,0.033,2.12,84.337,39.784,28.166
4,0.3437,0.0661,0.0339,2.28,87.058,38.184,27.357
5,0.3658,0.0686,0.0369,2.309,87.592,37.932,27.829
6,0.3889,0.0722,0.038,2.321,89.67,38.64,28.027
7,0.4163,0.0851,0.0392,2.211,91.977,41.6,28.237
8,0.4482,0.0988,0.0416,2.13,95.498,44.839,29.103
9,0.5455,0.0867,0.0399,2.508,100.421,40.041,27.159
10,0.6903,0.0707,0.0308,3.126,106.579,34.098,22.519
11,0.7674,0.0641,0.0222,3.46,96.58,27.913,16.41
