layer,intrinsic_dim_twonn,null_mean,null_std,z_score
0,10.333169244785216,11.940686493573244,0.8907894584920698,-1.804598419371999
1,9.889414567742662,11.590120218987018,0.5679356757337715,-2.9945392126441925
2,9.921279934886021,11.445512445701896,0.8889032266727267,-1.7147339159981034
3,10.022658202083171,11.855663842398998,0.6915477213596928,-2.6505844552735227
4,8.857045966396184,11.864756758119036,0.6372834567969686,-4.719580839019136
5,8.795161931500619,12.550847088768952,0.6491917327799077,-5.785170955868603
6,9.608211989704403,10.635034326020797,0.5667725134673592,-1.8117010121654915
7,9.331429356166039,9.35674163836365,0.6982407680776459,-0.03625151001609209
8,9.336383254722469,9.76947052503314,0.46851397621710333,-0.9243849539079385
9,9.203357396311317,10.382860043687202,0.585589903265012,-2.014212746496237
10,9.148861444103659,9.617067616354186,0.5274852281732355,-0.8876194957572534
11,8.515930921481313,9.801970947094045,0.5975137346581321,-2.1523187686196703
