layer,eff_rank,spr,k90,k99,k50,frob_norm,sv1,sv5,sv10,top5_sv,var1,var2,var5,var10
0,236.8911590576172,90.10836029052734,307,471,57,558.0241088867188,132.0525360107422,80.123291015625,58.454341888427734,"[132.0525360107422, 126.71002960205078, 99.23651885986328, 91.19237518310547, 80.123291015625]",0.055999938398599625,0.05156036838889122,0.02061634138226509,0.010973055846989155
1,230.38088989257812,90.98341369628906,299,469,53,478.1830139160156,110.06422424316406,72.68245697021484,51.25375747680664,"[110.06422424316406, 105.83075714111328, 86.68073272705078, 78.00794982910156, 72.68245697021484]",0.052979011088609695,0.048981864005327225,0.023103123530745506,0.011488489806652069
2,213.96914672851562,83.44107818603516,287,464,46,452.2222595214844,106.03286743164062,72.46471405029297,51.54570388793945,"[106.03286743164062, 101.41167449951172, 83.0570068359375, 76.20594024658203, 72.46471405029297]",0.054976485669612885,0.05028887093067169,0.025677286088466644,0.01299214642494917
3,186.46559143066406,68.07240295410156,270,457,36,446.2905578613281,114.20865631103516,75.48040008544922,54.761871337890625,"[114.20865631103516, 102.41946411132812, 87.61298370361328, 79.19717407226562, 75.48040008544922]",0.06548810750246048,0.052665889263153076,0.028604397550225258,0.01505639310926199
4,155.99459838867188,52.57888412475586,248,448,27,420.88079833984375,121.18537139892578,72.28726196289062,54.728816986083984,"[121.18537139892578, 101.30937957763672, 86.15309143066406, 80.5528335571289, 72.28726196289062]",0.08290524780750275,0.05794033035635948,0.029498856514692307,0.016908837482333183
5,141.09767150878906,46.06494140625,235,442,22,407.3398132324219,124.33358764648438,70.7720718383789,54.0022087097168,"[124.33358764648438, 99.22688293457031, 84.07311248779297, 82.06484985351562, 70.7720718383789]",0.09316722303628922,0.05933964252471924,0.030186308547854424,0.017575563862919807
6,125.45759582519531,40.18966293334961,216,433,18,401.8717346191406,129.0548095703125,71.95459747314453,56.1062126159668,"[129.0548095703125, 100.55545043945312, 86.43511962890625, 79.79365539550781, 71.95459747314453]",0.10312724113464355,0.06260892003774643,0.03205841779708862,0.019491571933031082
7,107.1446762084961,33.43959045410156,193,419,15,395.95062255859375,134.47824096679688,74.21151733398438,54.34927749633789,"[134.47824096679688, 105.59799194335938, 92.21437072753906, 81.24407196044922, 74.21151733398438]",0.1153511255979538,0.07112611830234528,0.03512856736779213,0.018841061741113663
8,88.71968078613281,26.424901962280273,169,404,12,386.5921325683594,143.87322998046875,76.31665802001953,53.176143646240234,"[143.87322998046875, 109.61754608154297, 93.20272827148438, 79.82681274414062, 76.31665802001953]",0.13850128650665283,0.08039961755275726,0.03897019103169441,0.018920276314020157
9,74.65216064453125,22.842939376831055,145,386,9,338.14251708984375,127.88912200927734,68.04993438720703,45.7608642578125,"[127.88912200927734, 106.06533813476562, 85.47193145751953, 74.08689880371094, 68.04993438720703]",0.14304330945014954,0.0983891636133194,0.04050006717443466,0.018314233049750328
10,59.91677474975586,18.984046936035156,119,361,7,266.911376953125,101.30158996582031,53.05276107788086,35.68171310424805,"[101.30158996582031, 95.71764373779297, 72.02180480957031, 62.38180923461914, 53.05276107788086]",0.14404499530792236,0.12860256433486938,0.03950769081711769,0.01787133887410164
11,48.744476318359375,15.188799858093262,102,348,6,203.68472290039062,87.8155517578125,42.870262145996094,26.106748580932617,"[87.8155517578125, 69.72047424316406, 60.5223388671875, 47.30422592163086, 42.870262145996094]",0.18587706983089447,0.11716653406620026,0.044299133121967316,0.01642814464867115
