layer,sv1_pval,sv1_effect,sv24_pval,sv24_effect,sv14_pval,sv14_effect,n_pos
0,5.1948212363331075e-08,0.27304849639933365,0.9924202411315348,-0.15249157477925462,0.41892417573267465,-0.007885893795697813,589
1,4.4225137639929853e-05,0.2256927510144384,0.8993202273854712,-0.07461544098428356,0.3085377615065744,0.01735883313666499,589
2,0.8065824801857022,-0.03547582551518508,0.075056945199009,0.06608726307839903,0.08108146023376844,0.06584888111641377,589
3,0.9523385784778148,-0.14179628598947,0.008988646474076146,0.1254455519450011,0.07638434941590132,0.07930355110071059,589
4,0.8928306915639753,-0.06758335812072933,0.025619518487566686,0.1259079610825496,0.048793547638369496,0.10654292287203039,589
5,0.6444816781165823,-0.021823790963055322,2.929055981267666e-05,0.22126290647724708,0.000265364897189605,0.19913832894945696,589
6,0.9466604989785995,-0.09183343426535068,2.799782232383632e-06,0.2360090172282789,0.00020095663810317467,0.19171516299462968,589
7,0.9313702081438706,-0.06378330800166286,0.00014070478584437852,0.19229501638084434,0.0012699989311062473,0.1582108397782077,589
8,0.8873817944365459,-0.045109701601269384,1.2420060885454154e-08,0.2680928890134321,7.022822314027925e-05,0.20573193729696065,589
9,0.8100989908943793,-0.02182422017962479,0.037531914719168454,0.15491566860407652,0.10028740494305866,0.1189219005511634,589
10,0.20598952900332407,0.03662757797624378,0.19947713325149524,0.10389549248487957,0.1258802305527395,0.10009333755611506,589
11,0.00048499617967030925,0.1381172173711612,0.004184945950130255,0.16255604100477175,0.00020456002632023493,0.18847502151516932,589
