layer_transition,real_swd,null_feature_shuffle,ratio
L0_L1,0.4279616419468823,0.33472621582942397,1.2785423480692382
L1_L2,0.29614836451402193,0.30224509246154024,0.9798285295623316
L2_L3,0.2990909647157871,0.19137222530523107,1.562875512571111
L3_L4,0.28653512608399523,0.2981107435630198,0.9611700761244872
L4_L5,0.32122701944261506,0.2633581769865948,1.2197343675376588
L5_L6,0.33593450948222975,0.2709871887395898,1.2396693402545027
L6_L7,0.35935577151310694,0.2763861521416373,1.3001945601418947
L7_L8,0.2881546780583538,0.3093339484268075,0.9315326672802453
L8_L9,0.4086459607172814,0.37699525623154556,1.0839551797073446
L9_L10,0.3614454189006694,0.26791916484747363,1.3490838518642003
L10_L11,0.2141452523065527,0.17903853098402767,1.196084726173591
