layer,rbc_raw_sv57,p_raw_sv57,rbc_residual_sv57,p_residual_sv57
0,0.20496696382686752,1.2892243443919673e-13,0.1482698230973405,6.070232547685141e-08
1,0.18610284633915508,1.5520959442333226e-11,0.11935717972413928,1.0242279735116042e-05
2,0.1627685059980135,3.1462457352730537e-09,0.08310712816608268,0.0015091797734855374
3,0.10703675504182053,6.676503979502496e-05,0.02183497631673703,0.2179309080465845
4,0.104751479019494,9.263480217558722e-05,0.005644074390750986,0.42019907902687903
5,0.04830181696165303,0.04237733587783958,-0.0789824836379811,0.9975893907693469
6,0.0076038379259949496,0.39307105762376715,-0.09475869157357408,0.9996398833986828
7,-0.01529351304892601,0.7074085969636912,-0.11511214016656868,0.9999800559243714
8,-0.02271787319950902,0.7912563669746793,-0.1039644522527805,0.9998964895474146
9,-0.027990729582730856,0.8410940224069094,-0.09533168273234294,0.9996657808706152
10,-0.01258462488587564,0.6733404443146844,-0.0850089237241749,0.9987925764828066
11,-0.0058447327731991905,0.5826294315881344,-0.07876844803003635,0.9975314089100271
